labels,text_id,content,content_translation
0,1507471,"@LEBrobakken @IHateMyTweets @PHChess @EmilSutovsky @FIDE_chess He is still playing under Isreal Fed and never said that he is against what his country committed, yes he didn’t say he agrees but also didn’t deny, 
You can see how blind is our community with the Palestinian case and ban Russia Flag 🤷‍♂️","@LEBrobakken @IHateMyTweets @PHChess @EmilSutovsky @FIDE_chess He is still playing under Isreal Fed and never said that he is against what his country committed, yes he didn’t say he agrees but also didn’t deny, 
You can see how blind is our community with the Palestinian case and ban Russia Flag 🤷‍♂️"
0,1489375,RT @FRANFER00: @MarticaFierro @anahi_ortiz05 @FIDE_chess @FideWomen @FIDEAmericas @FedeEcuAjedrez No hace hace falta auto promocionarse par…,RT @FRANFER00: @MarticaFierro @anahi_ortiz05 @FIDE_chess @FideWomen @FIDEAmericas @FedeEcuAjedrez You Don't Need to Promote Yourself to...
0,1478958,@SusanPolgar @FIDE_chess @ECUonline @WOMChess @lichess @chesscom @chessdom @EuropeEchecs @OnTheQueenside You have the BEST twitter feed! This is awesome!!,@SusanPolgar @FIDE_chess @ECUonline @WOMChess @lichess @chesscom @chessdom @EuropeEchecs @OnTheQueenside You have the BEST twitter feed! This is awesome!!
0,1519382,@SusanPolgar @FIDE_chess @ECUonline @WOMChess @lichess @chesscom @EuropeEchecs @OnTheQueenside @chessdom Awesome news! Can't wait to read it!,@SusanPolgar @FIDE_chess @ECUonline @WOMChess @lichess @chesscom @EuropeEchecs @OnTheQueenside @chessdom Awesome news! Can't wait to read it!
0,1332600,@AlexAlexcarreno @Rummcajs @PHChess @FIDE_chess russia should not exist.,@AlexAlexcarreno @Rummcajs @PHChess @FIDE_chess russia should not exist.
0,1446941,@Sayan_64 @FIDE_chess Ok but were talking about classical games.,@Sayan_64 @FIDE_chess Ok but were talking about classical games.
0,1444296,@FosFatee @FIDE_chess Makes sense,@FosFatee @FIDE_chess Makes sense
0,1340825,@vishy64theking @FIDE_chess He did.,@vishy64theking @FIDE_chess He did.
0,1391805,"India's XI in WTC Final 2023 Against Australia

Rohit Sharma (Captain)
Shubman Gill
Pujara
Kohli
Rahane
Bharath
Jadeja
Shardul
Ashwin/Axar
Siraj
Shami

What is your opinion? 

https://t.co/bgQpzhP9t4

#indiancricketteam #WorldChessChampionship #WTC2023 #WTCFinal","India's XI in WTC Final 2023 Against Australia

Rohit Sharma (Captain)
Shubman Gill
Pujara
Kohli
Rahane
Bharath
Jadeja
Shardul
Ashwin/Axar
Siraj
Shami

What is your opinion? 

https://t.co/bgQpzhP9t4

#indiancricketteam #WorldChessChampionship #WTC2023 #WTCFinal"
0,1396961,"Win or Loose does not matter.
@rjrapport is an amazing chess brain to have on a team. He seems to bring an abundance of joy, friendship, support, and ideas. 

@FIDE_chess @chesscom","Win or Loose does not matter.
@rjrapport is an amazing chess brain to have on a team. He seems to bring an abundance of joy, friendship, support, and ideas. 

@FIDE_chess @chesscom"
1,1339153,"Ding lost his game in a total collapse from a good position.

I had the chance to ask Magnus Carlsen if he ever experienced this kind of meltdown and his answer was straight : "" @Guillaume no "".

The difference between their spirit strenght maybe ?

#NepoDing #chess","Ding lost his game in a total collapse from a good position.

I had the chance to ask Magnus Carlsen if he ever experienced this kind of meltdown and his answer was straight : "" @Guillaume no "".

The difference between their spirit strenght maybe ?

#NepoDing #chess"
1,1363012,"GM Daniil Dubov: ""After having a little panic attack for Ding, I think we are now back to saying that there are some chances for Ian for sure but it is way more likely that the game will finish in a draw."" #NepoDing https://t.co/YT8F4m4J1K","GM Daniil Dubov: ""After having a little panic attack for Ding, I think we are now back to saying that there are some chances for Ian for sure but it is way more likely that the game will finish in a draw."" #NepoDing https://t.co/YT8F4m4J1K"
1,1336528,"So sad to see Ding lose the match under time pressure. It was an interesting game and could have gone either ways. #WorldChessChampionship 
https://t.co/7xCE6Ej8ND","So sad to see Ding lose the match under time pressure. It was an interesting game and could have gone either ways. #WorldChessChampionship 
https://t.co/7xCE6Ej8ND"
1,1362043,"RT @FIDE_chess: Daniil Dubov: ""Ding seems so upset. His body language is like he feels he is lost."" #NepoDing https://t.co/QCuztfSMU6","RT @FIDE_chess: Daniil Dubov: ""Ding seems so upset. His body language is like he feels he is lost."" #NepoDing https://t.co/QCuztfSMU6"
1,1435650,"@GoofySommelier @jmalquezar @FIDE_chess Yeah, everyone knows this.

But I think it is a matter of course to give Ian and Ding who played and gave their best in the last weeks a big respect today.

It is just a question of personal class.

But I understand that not everyone has it.","@GoofySommelier @jmalquezar @FIDE_chess Yeah, everyone knows this.

But I think it is a matter of course to give Ian and Ding who played and gave their best in the last weeks a big respect today.

It is just a question of personal class.

But I understand that not everyone has it."
1,1354288,"Ding throwing this game shows you that he still hasn't recovered from that game 7 loss. This also shows the mental aspect of chess. Totally jarring.

#WorldChessChampionship
#Chess","Ding throwing this game shows you that he still hasn't recovered from that game 7 loss. This also shows the mental aspect of chess. Totally jarring.

#WorldChessChampionship
#Chess"
1,1384853,"🤔 Ding Liren doit-t-il jouer son va-tout dans la 12e partie du Championnat du Monde d'#échecs ?
Le Chinois doit-il au contraire attendre l'ultime partie du match ?
👉https://t.co/gEifTwjoIU

📷 Anna Shtourman
#NepoDing https://t.co/yOJlztyXeH","🤔 Should Ding Liren play his best in the 12th game of the #échecs World Championship?
On the contrary, should the Chinese wait for the final part of the match?
👉 https://t.co/gEifTwjoIU

📷 Anna Shtourman
#NepoDing https://t.co/yOJlztyXeH"
1,1394697,"RT @ChessbaseIndia: HUGE DRAMA in the @FIDE_chess World Championship match - From a completely winning position, now Ian Nepomniachtchi is…","RT @ChessbaseIndia: HUGE DRAMA in the @FIDE_chess World Championship match - From a completely winning position, now Ian Nepomniachtchi is…"
1,1331268,"@Combatfilosof @FIDE_chess @MagnusCarlsen Carlsen is in best psychological shape of all top grandmasters, but I think Ding would be able to make him hard time over the board.","@Combatfilosof @FIDE_chess @MagnusCarlsen Carlsen is in best psychological shape of all top grandmasters, but I think Ding would be able to make him hard time over the board."
1,1341024,"RT @IExpressSports: What's Ian #Nepomniachtchi thinking here as he contemplates his 12th move against #DingLiren? 

Follow our #NepoDing li…","RT @IExpressSports: What's Ian #Nepomniachtchi thinking here as he contemplates his 12th move against #DingLiren? 

Follow our #NepoDing li…"
2,1339576,"Nepo was only lucky today

#NepoDing
#WorldChessChampionship https://t.co/Xgjye3UdxI","Nepo was only lucky today

#NepoDing
#WorldChessChampionship https://t.co/Xgjye3UdxI"
2,1451110,"También quiero destacar el enorme mundial de Nepo. Siempre ha ido por delante en el marcador, ha sido capaz de apretar en casi todas las posiciones.
Nunca se ha rendido y ha ido a ganar todas sus partidas, pero las defensas de Ding fueron demasiado precisas.

#NepoDing
#TeamNepo","I also want to highlight Nepo's huge world championship. He has always been ahead on the scoreboard, he has been able to push in almost every position.
He has never given up and has gone on to win all his games, but Ding's defenses were too precise.

#NepoDing
#TeamNepo"
2,1390354,"Today is a rest day in the World Championship, time to sharpen your own skills! We’ve prepared a position from Nepo's game against Potapov. Can you follow his train of thought and win? Play the position through the link below.

https://t.co/AHDKO0LWiL

#NepoDing #chess #NoctieAI https://t.co/pkadhdzP9j","Today is a rest day in the World Championship, time to sharpen your own skills! We’ve prepared a position from Nepo's game against Potapov. Can you follow his train of thought and win? Play the position through the link below.

https://t.co/AHDKO0LWiL

#NepoDing #chess #NoctieAI https://t.co/pkadhdzP9j"
2,1400144,"RT @chesscom_es: 🚨 SE ACABA, SE ACABA, ERROR GRAVE de NEPO. #NepoDing https://t.co/yMnVLzXmPA","RT @chesscom_es: 🚨 IT'S OVER, IT'S OVER, NEPO'S SERIOUS MISTAKE. #NepoDing https://t.co/yMnVLzXmPA"
2,1425649,RT @chesscom: Nepo returns to the board and reacts to Ding's exciting h4 move 🤨 #NepoDing https://t.co/wUYbeQft5q,RT @chesscom: Nepo returns to the board and reacts to Ding's exciting h4 move 🤨 #NepoDing https://t.co/wUYbeQft5q
2,1377398,"@vishy64theking @FIDE_chess It is a game recently played by Nepo, where he had problems. The question is, did he find something to fix them? https://t.co/3rcQvtOe3A","@vishy64theking @FIDE_chess It is a game recently played by Nepo, where he had problems. The question is, did he find something to fix them? https://t.co/3rcQvtOe3A"
2,1374581,"第十局、ドロー。Dingは得意のEnglish。ほんの少し、勝つなら白かな、という感覚の局面になりましたが、Nepoの守りが巧く、特に何も起こらず終局を迎えました。残り四局。マッチスコアは5.5-4.5でNepoがリードしています。Dingは取り返せるか。

#NepoDing https://t.co/NSSvAIb79E","Tenth game, draw. I'm good at Ding in English. There was just a little bit of a feeling that if they won, it would be white, but Nepo's defense was clever, and nothing in particular happened and the game came to an end. There are four games left. Nepo is in the lead with a match score of 5.5-4.5. Can Ding be taken back?

#NepoDing https://t.co/NSSvAIb79E"
2,1450390,"Life gets hard
Sometime even after working tirelessly for days months &amp; years
fully dedicated, nothing works out!

Things get going hard, You FAIL
You feel like giving up.
You feel you are the most unlikely person on earth

And then I see Nepo

#inspiration
#NeverGiveUp
#NepoDing https://t.co/kv0cThpwmN","Life gets hard
Sometime even after working tirelessly for days months &amp; years
fully dedicated, nothing works out!

Things get going hard, You FAIL
You feel like giving up.
You feel you are the most unlikely person on earth

And then I see Nepo

#inspiration
#NeverGiveUp
#NepoDing https://t.co/kv0cThpwmN"
2,1355282,"第八局、ドロー。ドッタンバッタン大騒ぎなゲームでした。Dingの勇気ある指し回しがチャンスを掴んだかに見えましたが、Nepoはブラフや絶妙手37…Nxf2‼︎を含む脅威的な指し回しで危機を脱出。1点のリードを維持し、世界チャンピオンの座に1歩近づきました。マッチスコアは4.5-3.5です。

#NepoDing https://t.co/A9QmyQwg1b","Eighth game, draw. It was a very loud game. Ding's courageous pointing seemed to have grasped the opportunity, but Nepo escaped the crisis with threatening pointing, including bluffs and exquisite moves 37... Nxf2 ‼ ︎. They maintained a 1-point lead and came one step closer to becoming world champion. The match score is 4.5-3.5.

#NepoDing https://t.co/A9QmyQwg1b"
2,1427462,Emotions…#nepo #NepoDing #chess https://t.co/BTodDgzLvi,Emotions…#nepo #NepoDing #chess https://t.co/BTodDgzLvi
3,1433096,Beste Headline zum Thema. Ein bisschen Bildung schadet auch in der Sportberichterstattung nicht. #NepoDing https://t.co/Ed15EXF9Cb,Best headline on the topic. A bit of education doesn't hurt when it comes to sports coverage either. #NepoDing https://t.co/Ed15EXF9Cb
3,1320411,"RT @USChess: With a pair of #NepoDing attacking masterpieces over the weekend, we had to call in the big guns to break down what just happe…","RT @USChess: With a pair of #NepoDing attacking masterpieces over the weekend, we had to call in the big guns to break down what just happe…"
3,1353739,"RT @DanielKingChess: Ding with the 'Cannonball Variation'. The fun continues. My recap of game 8:
#WorldChessChampionship #NepoDing 
https:…","RT @DanielKingChess: Ding with the 'Cannonball Variation'. The fun continues. My recap of game 8:
#WorldChessChampionship #NepoDing 
https:…"
3,1422099,RT @amanhambleton: The #NepoDing World Championship match reaches its conclusion this weekend. Decided to make a video to bring everyone up…,RT @amanhambleton: The #NepoDing World Championship match reaches its conclusion this weekend. Decided to make a video to bring everyone up…
3,1330913,RT @ChessMike: A different kind of world champ prep #NepoDing https://t.co/hjmEH7pnT4,RT @ChessMike: A different kind of world champ prep #NepoDing https://t.co/hjmEH7pnT4
3,1420856,Drop your #NepoDing predictions below for one last time 👇,Drop your #NepoDing predictions below for one last time 👇
3,1378663,RT @DanielKingChess: This is why I prefer spectating and analysing one #WorldChessChampionship game than watching the deluge of online ches…,RT @DanielKingChess: This is why I prefer spectating and analysing one #WorldChessChampionship game than watching the deluge of online ches…
3,1364159,"multitasking right now, watching tnt vs ginebra on tv and #NepoDing on my laptop haha let's gooo","multitasking right now, watching tnt vs ginebra on tv and #NepoDing on my laptop haha let's gooo"
3,1357949,"The #WorldChessChampionship and #NepoDing tags are down the Twitter ranks and trends after the rest day. See them explode today again, as interest in the World Championship continues to grow. G1 vs G7 has 50% detectable interest growth https://t.co/VJjDq573Pl","The #WorldChessChampionship and #NepoDing tags are down the Twitter ranks and trends after the rest day. See them explode today again, as interest in the World Championship continues to grow. G1 vs G7 has 50% detectable interest growth https://t.co/VJjDq573Pl"
3,1402450,"Fabi’s voice makes me feel like attending some university lecture, and it’s cool, but I want @anishgiri back to the commentary team…

#NepoDing
#WorldChessChampionship https://t.co/ByVeNth197","Fabi’s voice makes me feel like attending some university lecture, and it’s cool, but I want @anishgiri back to the commentary team…

#NepoDing
#WorldChessChampionship https://t.co/ByVeNth197"
4,1447310,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1448916,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1445642,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1449334,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1443409,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1448850,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
