topic,text_id,doc
0,519965,El pique de los colombianos 😅
0,519253,Piqué está bien horrible parece q no ha salido de su casa por andar jugando videojuegos durante 10 años
0,718390,Ai dios mio la foto de piqué
0,567867,Croyez-vous au succès de la Kings League de Piqué #KingsLeague #GeraldPique  https://t.co/ixjvu78YGE
0,628372,Jajajajajaja dios la gente q sigue a Piqué es igual o más mogólica que él sino no se explica. Se humillan solos https://t.co/gwLTl8hamZ
0,638232,CÓMO QUE PIQUÉ LE FUE INFIEL A CLARA CHÍA? JAKSLAJSLSJKS https://t.co/L7l53108QS
0,640590,"Laporta: ""I think Pique's Kings League is a way of modernising football. It gives it sustainability."""
0,688210,The Kings League — Piqué’s bid to disrupt Spanish soccer https://t.co/wGz5wUVSBJ
0,707890,Yo viendo el chisme de la foto de pique con clara-mente
0,734207,estoy mega picada leyendo los comentarios de la foto que posteo piqué
1,628874,piqué es famoso por ser el novio ( me pongo de pie) DE LA MISMÍSIMA SHAKIRA https://t.co/3AOBs2eudP
1,516051,"Mi novio: me parece que lo de shakira de haberle dedicado 3 canciones a piqué ya es mucho, ella es mucha wila.
Yo: bro, ella le ha dedicado discos completos a los exs, 3 canciones no son nada"
1,617547,"piqué se hizo famoso por ser pareja de shakira, ahora por idiota ni eso tiene https://t.co/96QPVayLHM"
1,624840,"Piqué es famoso por ser el ex de Shaki, si no las mujeres y la gente del colectivo no lo conoceríamos, cosa que no pasa con shaki, un beso 😘 https://t.co/ybIWZ5QiAL"
1,626578,pique es conocido como el novio de Shakira xq como jugador de caga de hambre https://t.co/gQauOtiq4A
1,737237,"Para que shakira e piquet, se temos Luana piovane e Pedro scooby"
1,738483,"Destapan por qué la madre de Gerard Piqué habría agredido a Shakira tras video filtrado en redes
https://t.co/2y0LRbCE5Q"
1,644541,"Non è vero, chi non segue il calcio non sapeva manco che faccia avesse piqué mentre tutti, fan e non, conoscevano Shakira, quando si sono messi insieme grazie a lei e solo grazie a lei tutte le persone hanno conosciuto piqué, anche chi prima non sapeva manco della sua esistenza. https://t.co/j1QXstVwi3"
1,692767,"Un video de la mamá de Piqué sujetándole el rostro a Shakira en plan retador y callándola está causando gran revuelo y la reacción del ex futbolista desató la indignación.
https://t.co/bVoaziXt7v https://t.co/49SXd7iZq9"
1,700837,Madre de Piqué le calla la boca a Shakira 😬 https://t.co/KylsYdYtBH
2,683877,lo que debe ser que le pique alguna parte de la cara https://t.co/EuZ8bBCeEz
2,545978,a é pique resistênciaaaaa agora entendi #bbb23
2,552238,Queria ter pique de pegar o violão e tocar como antes mas não sinto mais vontade
2,643059,Eu e meus amigos nesse pique ano passado jogando fazendinha nas aulas kkkkkkkk https://t.co/Ruyiwzc6dY
2,669214,Serasse vou ter pique pra aguentar Olinda?
2,639110,"“Yo gané, pero fue bueno porque me piqué y como me piqué, encuentro que jugó a mi favor. A mí por lo menos me sirvió harto”, contó. https://t.co/qNcNgvxLGg"
2,743786,"Ay amiks tuve unos días bien culerillos, con harta ansiedad y sintiendo que soy un fracaso PERO hoy amanecimos con harta serotonina y ahora mismo estoy teniendo una fiesta de desayuno con mi hermano, escuchando @shakira y comiendo molletes deliciosos. Amamos aquí 💕"
2,688356,"Sabes a quién le manda el mensaje ¿verdad? 

https://t.co/C47evRvcIb"
2,725204,segunda chegarei nesse pique na ufal https://t.co/FYVvXMoncl
2,742256,to no pique p tomar duas garrafas de vinho e quebrar as duas na minha cabeça
3,520744,Shakira rhyming mean things with her ex’s name in her song I love her
3,597574,"Belinda, Luis Miguel y más famosos que, como Shakira, dedicaron canciones a sus ex - Uno TV https://t.co/Za5i84ur3X"
3,527214,"Yo no soy machista, shakira es pendeja. https://t.co/8gZs3O9rOU"
3,556539,Harta de las críticas a Shakira. No hay derecho ni para hacer una puñetera canción. Asco de patriarcado.
3,600054,Shakira es la típica ex q dejan por otra y pasa y pasa el tiempo y no lo supera 😂
3,662246,"shakira tiene a bzrp para tirarle indirectas a su ex, tú háblale al “se vienen cositas” de tu cuadra, por algo se empieza 💋"
3,673065,"Le tiran hate a duki por que shakira le gano en vistas,
Parece que el mundo piensa que mientras mas te vean y griten tu nombre mejor eres."
3,724313,Q espero de los hombres si a Shakira la engañaron😩
3,750721,"Si me lo hicieron a mi, es probable de que se lo puedan hacer a la próxima… o tal vez no… pero, sobre aviso no hay engaño… 🤷🏻‍♀️
#cheatingboyfriend #tiktok #shakira #exboyfriend #ex #exnovio https://t.co/TCrRAfYUNm"
3,510679,Creo que mis ex se van a identificar con el shakira bzrp
4,531595,"Hay que reconocer que todo lo de Shakira y eso estuvo todo pendejo, solo nos gustó la nostalgia del Twitter de antes y acabamos viéndonos bien Facebook...y ps nada, a seguir con lo verdaderamente importante: https://t.co/edt9eED8ac"
4,517876,Aprende a soltar barras Shakira🤣🤣🤣 https://t.co/cTpY81LwGq
4,747664,shakira désormais c’est le garaaaage https://t.co/loFUyo8b4A
4,634780,shakira jobless https://t.co/0rkXWrX439
4,681018,shakira was ended https://t.co/r0hxQzH4tc
4,545524,SHAKIRA FAZ ISSOOOO https://t.co/A6DJBGjQ0c
4,561467,Shakira narco satánica https://t.co/fx3NiQ0O6d
4,600712,No he venido a hablar de Shakira https://t.co/iopbD6fcjA via @20minutos https://t.co/m64xvQZdHj
4,667083,a Shakira deles https://t.co/hy2CsJNB90
4,744294,Shakira dovevi dare fuoco dopo questa scena. Fuoco solo fuoco https://t.co/60dTsHYUdE
5,511832,miley and shakira are the only ones that helped me get through this week 🤝
5,512573,"“Flowers” de Miley Cyrus es un diss-track muy superior al Bizarrap de Shakira, pero los gringos no son igual de chismosos que los latinos."
5,515066,"Okay okay,la canción de Shakira está bien,pero la de Miley  ya es otro nivel de lo top!!!"
5,541944,Miley y Shakira slaying en la misma semana es ☠️
5,531819,miley e shakira a gente percebeu que vcs superaram graças a Deus
5,645120,Si te gusta más la canción de Shakira que la de Miley Cyrus es porque sigues ardid@
5,555811,"Shakira e Miley, eu amo vocês."
5,561825,Honestamente disfrute más la canción de despecho de Miley que la de Shakira … 🤷🏻‍♂️ pero es cuestion de gustos 🤷🏻‍♂️😻
5,599587,"Miley y Shakira, nos dieron más de lo que necesitábamos esta semana."
5,680534,Con lo de Shakira y Miley solo puedo decir que es mucho pan para esos salames.
6,576164,"""Las mujeres ya no lloran, las mujeres facturan"" 

SHAKIRA ALTA DIOSA"
6,574480,"Que envidia eh! ""Claramente"" está claro que mientras Shakira factura, yo lloro y de a gratis pa colmo ... 🥲🙈 https://t.co/XxtJq5m2Ms"
6,583658,"""Las mujeres ya no lloran las mujeres facturan""
— Shakira 2023 https://t.co/1yDzZ3Ls5g"
6,583265,"Las mujeres ya no lloran, facturan!!  👏🏻
Los mejores ejemplos latinos de eso
@karolg 
@shakira 
#danielabarranco
De las peores situaciones se debe sacar lo bueno! 
#ShakiraxBizarrap"
6,580786,"las mujeres ya no lloran, las mujeres facturan TE AMO SHAKIRA ✨"
6,616340,Pregúntenle a Shakira ¿A los cuántos días de ruptura se comienza a facturar? Y ¿A quién le cobro? o ¿Cómo es la cosa?
6,639628,"las mujeres ya no lloran, las mujeres facturan.
camiseta de la tostadora.

https://t.co/3R8llTZ7J1

#Shakira #ShakiraPique #ShakiraBZRP #camisetashakira https://t.co/bIp69FZ6tc"
6,667429,Shakira te he fallado yo lloro y no facturo
6,777212,"Shakira:
“Las mujeres ya no lloran,las mujeres facturan”💃🏼
Yo:
“Lloro por las facturas”😭"
6,501537,"@Juliosinmas @fdbedout @PaulaGuerra_C Al contrario, pásele la cuenta de cobro a Shakira por el diagnóstico que le dió, pero eso sí, cóbrele muy bien porque ella está facturando muy duro. 🤣🤣🤣"
7,631216,that shakira song has been stuck in my head since it came out 😭
7,607069,¿Es normal que tenga esta canción en repeat en Spotify y en mi mente? 💃🏼✌🏻#TeamShak @shakira https://t.co/YHtmn7pIz2
7,623457,no me puedo sacar la canción de shakira de la cabeza bastaaaAAa
7,628186,a nova música d Shakira n sai da minha cabeça
7,627598,A música da Shakira simplesmente fazendo eco no fundo da minha mente
7,650876,"Le estoy huyendo a la canción de Shakira, porque cada vez que la escucho mi cerebro empieza a cantar sin parar, una y otra vez: PA TIPOS COMO TUUUUUUUUU."
7,631822,Essa música da Shakira o dia todo na minha cabeça kkkkkkk muito boa
7,692935,A nova da Shakira 😩 GRUDOU na minha cabeça. https://t.co/lk8KzqMF2M
7,662470,"No puedo sacarme de la cabeza la canción de Shakira, peguenme un tiro"
7,738459,"eu tô com a música da Shakira macetando o pique na cabeça 

eu tô fazendo nada, minha cabeça “salPIQUE” “CLARAmente”

Shakira tu criou um monstro mulher"
8,606656,".@FelipeCalderon, ahí te habla @shakira. https://t.co/cTHpV76wTZ"
8,547921,Bésense yaaaaa @shakira https://t.co/D5XDe7z63M
8,576004,🫶  @shakira me encantooooo 😂😂😂 para vos @3gerardpique 🖕 https://t.co/7EJrxo7lyu
8,589929,"Besitooos, un saludo para Shaki.
@shakira https://t.co/AVrXjiJDim"
8,767551,Que @shakira suba esto a sus historias es todo lo que pido 🤣 https://t.co/0GHpgAHGxH
8,671830,"Mi favorito eterno #LaTortura 
Me encanta verlos @shakira @AlejandroSanz https://t.co/4MLjXnQRcd"
8,684776,.@shakira GIVE ME A CHANCE JUST ONE CHANCE https://t.co/7kOEFi9Sms
8,730919,La de hoy @shakira https://t.co/AAXZEPZGd3
8,749684,Please help me retweet people of grace 👏🏻👏🏻wizzy phyno Alaba Shakira #BBTitians2023  Tinubu Al Nassr Lai Mohammed Onana Yemi https://t.co/3TFQWlTT0F
8,582317,Te has pasado 💥💥 @shakira https://t.co/bo2387oIW3
9,622458,"Amo un chingo al de  inevitable de shakira, siento que esta algo grunge jaja"
9,535183,mds ouvi agr a música da shakira e é MUITO DIRETA KKKKKKKKKKKKK passada amei
9,513500,"No entiendo xq todos amaron la canción de Shakira, para mi Cher es la Queen de como decirle thank u next a una relación y salir renovada 👑"
9,613206,Et j’aime +++++ que les paroles du dernier Shakira 😀 https://t.co/FgOwcCcybn
9,642187,"Es que es perfecta, un himno para todos esos hdp manipuladores, egocéntricos y psicopatas 🙌🏻 si ya amaba a Shakira.. ahora es más y más! https://t.co/hGgYXKKv32"
9,622710,Me da muchísima flojera hablar de la canción de Shakira. Sinceramente.
9,674199,"Adicionei a música da Shakira nas minhas curtidas, não tem jeito boa dms"
9,690784,las canciones de shakira con alejandro sanz son lo mejor que he descubierto este mes de enero
9,702137,"Sério, essa música nova da Shakira é genial KKKKKKKKK muito boa"
9,745022,La neta nunca e escuchado la canción de Shakira solo lo que publica la gente
10,609135,BORA ROGER NESSE PIQUE MESMO
10,525378,"Me dicen el 002
0 pique
0 pesca
2 cucharas perdidas"
10,619691,"É coisa demais, perdi o pique #BBB23"
10,656852,a gotinha d’água e depois o “pique” ela foi tão inteligente https://t.co/CyWECnrDdv
10,742678,vem naquele pique
10,753251,Aceito enquadração só da minha coroa o resto é quele pique vai sustenta
10,762789,vanitas e moriarty nesse pique aqui: https://t.co/UcVPcXaIao
10,763653,"O pique não parece o mesmo, sabe?"
10,510811,esse é o pique
10,647294,Já até peguei a visão da Tróia mas é aquele pique João sem braço
11,521249,"100 millones de vistas en YouTube, Shakira la sacó del estadio – Revista Semana https://t.co/i06rzGJejJ"
11,711020,enquanto ela comemora o top5 dos cantores q mais tem ouvintes no spotify outros tao alugando carro citado na música dela p afineta-la https://t.co/a4miXH431A
