id,emoji,description,ocurrences
4,📷,camera,1
6,😊,smiling face with smiling eyes,1
7,🤩,star-struck,1
10,👍,thumbs up,1
20,😝,squinting face with tongue,1
26,🤣,rolling on the floor laughing,1
52,😀,grinning face,1
60,😎,smiling face with sunglasses,1
63,👉,backhand index pointing right,1
63,👈,backhand index pointing left,1
70,🙂,slightly smiling face,1
78,📸,camera with flash,1
78,👉,backhand index pointing right,1
85,🎙️,studio microphone,1
87,📸,camera with flash,1
87,✍️,writing hand,1
100,🇵🇱,flag: Poland,1
100,👏,clapping hands,1
101,📷,camera,1
104,🔥,fire,2
112,🚨,police car light,1
117,🔥,fire,1
119,🍻,clinking beer mugs,1
130,😊,smiling face with smiling eyes,1
135,📸,camera with flash,1
135,✍️,writing hand,1
136,😎,smiling face with sunglasses,1
139,😉,winking face,1
139,👏,clapping hands,1
140,🎟️,admission tickets,1
142,♟️,chess pawn,1
142,🏆,trophy,1
145,👌,OK hand,1
145,😊,smiling face with smiling eyes,1
148,🧠,brain,1
148,♟️,chess pawn,1
160,🔥,fire,1
189,🎆,fireworks,3
189,🎇,sparkler,3
192,👑,crown,1
201,😂,face with tears of joy,1
204,♟️,chess pawn,1
209,📸,camera with flash,1
209,😀,grinning face,1
209,🇰🇿,flag: Kazakhstan,1
209,🥇,1st place medal,1
216,📷,camera,1
218,📷,camera,1
223,📷,camera,1
234,♟️,chess pawn,1
235,👌,OK hand,1
237,♟️,chess pawn,1
239,👇,backhand index pointing down,1
241,🙂,slightly smiling face,1
252,🦾,mechanical arm,1
254,📷,camera,1
268,♟️,chess pawn,1
268,◻️,white medium square,1
271,😅,grinning face with sweat,1
273,😂,face with tears of joy,1
273,😅,grinning face with sweat,1
274,🤩,star-struck,3
280,😚,kissing face with closed eyes,2
288,📸,camera with flash,1
288,✍️,writing hand,1
289,😂,face with tears of joy,1
293,💕,two hearts,1
297,🤯,exploding head,1
301,😳,flushed face,1
302,📷,camera,1
305,🔥,fire,1
308,😆,grinning squinting face,1
315,🧂,salt,1
315,😂,face with tears of joy,1
320,🔥,fire,1
320,😂,face with tears of joy,1
329,😌,relieved face,1
332,😂,face with tears of joy,1
343,🙌🏾,raising hands: medium-dark skin tone,1
343,♥️,heart suit,1
348,♟️,chess pawn,1
348,🏆,trophy,1
348,➡️,right arrow,1
350,🗣,speaking head,1
350,♟,chess pawn,1
350,🦌,deer,1
357,😂,face with tears of joy,1
361,🇬🇭,flag: Ghana,1
362,🎙️,studio microphone,1
362,♟️,chess pawn,1
362,📺,television,1
365,📷,camera,1
370,♟️,chess pawn,1
370,🔥,fire,1
372,👉,backhand index pointing right,1
372,📷,camera,1
374,😱,face screaming in fear,1
374,😂,face with tears of joy,1
377,😊,smiling face with smiling eyes,1
377,🔥,fire,1
386,😮,face with open mouth,1
397,♟,chess pawn,1
420,🔥,fire,1
427,👉,backhand index pointing right,1
429,📸,camera with flash,1
437,🔥,fire,1
449,📸,camera with flash,1
449,👉,backhand index pointing right,1
469,📷,camera,1
470,♥️,heart suit,1
478,♟,chess pawn,1
478,❤️,red heart,1
490,👍,thumbs up,1
490,♟️,chess pawn,1
490,🙏,folded hands,1
490,👏,clapping hands,1
490,🇿🇲,flag: Zambia,1
492,🚐,minibus,1
495,😬,grimacing face,1
