id,person
1358001,ian nepomniachtchi
1358422,ian nepomniachtchi
1358422,white
1358924,ding liren
1358924,ian nepomniachtchi
1358958,ding liren
1359053,daniil dubov
1359072,nepo
1359081,ding liren
1359106,daniil dubov
1359737,ルイロペス
1360306,john henderson
1317643,ajedrez
1317750,karpov-kamsky
1318111,ding liren
1318307,carlsen
1318419,ding
1319787,ajedrez
1319791,ajedrez
1320093,ajedrez
1320101,ajedrez
1320392,ajedrez
1320498,van reek
1320636,jim
1320936,ding liren
1321003,john henderson
1321490,del rio
1321606,atiqueahmed
1321636,carlsen
1321904,bobby fischer
1322194,ding
1322194,ian
1322194,ding
1322194,black
1322270,peter
1322300,magnus
1322384,magnus
1322384,nepo
1322384,alireza
1322613,ajedrez
1322775,del rio
1322788,ajedrez
1322805,ding liren
1322887,emil
1322887,levy
1322965,ajedrez
1323041,ding liren
1323161,ding
1323161,magnus
1323161,botez
1323179,ding
1323363,ajedrez
1323360,david
1323679,pepe
1323686,peter wells
1323892,ian
1323892,ruy lopez
1323892,ding
1323897,daniil dubov
1323982,zakhodiakin
1324035,ding liren
1324035,ian nepomniachtchi
1324094,fischer
1324094,spassky
1324094,magnus-nepo
1324124,ding
1324124,arjun
1324195,stev bonhage
1324293,daniil dubov
1324328,garry kasparov
1324355,daniil dubov
1324355,irina krush
1324369,daniil dubov
1324378,daniil dubov
1324837,ian nepomniachtchi
1325083,dubov
1325255,patzer
1325258,patzer
1325286,hikaru
1325286,wesley
1325332,ding
1325471,ding
1325620,pepe
1325638,ding liren
1325638,ian nepomniachtchi
1325713,daniil dubov
1325713,dubov
1325724,ding liren
1325724,nepo
1325794,ding liren
1325862,daniil dubov
1325932,ding
1326278,ding liren
1326278,nepo
1326282,ding liren
1326338,ding
1326484,cozio
1326506,ding liren
1326506,ian nepomniachtchi
1326521,del rio
1326750,levy
1326779,levy
1326931,daniil dubov
1326931,dubov
1326931,elo
1326935,daniil dubov
1326954,karjakin
1326978,ding liren
1326980,white
1327004,ding
1327075,ding
1327306,daniil dubov
1327335,ding liren
1327335,nepo
1327335,nepo
1327355,daniil dubov
1327562,daniil dubov
1327566,nepomniachtchi
1327572,ian nepomniachtchi
1327653,daniil dubov
1327662,ding liren
1327759,ian
1327759,ding
1327879,daniil dubov
1327912,nepomniachtchi
1327962,nepo
1327962,nepomniachtchi
1328071,zhu jiner
1328167,ding
1328174,daniil dubov
1328192,ding
1328331,ding liren
1328331,nepo
1328337,daniil dubov
1328358,ian nepomniachtchi
1328434,ding liren
1328445,ian
1328445,nepomniachtchi
1328448,ian
1328448,nepomniachtchi
1328496,ian
1328496,nepomniachtchi
1328496,pravin thipsay
1328523,ding
1328528,ding
1328534,ding liren
1328534,nepo
1328578,ding liren
1328685,ding liren
1328685,nepo
1328693,del rio
1328698,daniil dubov
1328728,kasparov-kramnik
1328728,nepo
1328728,ding
1328767,ding liren
1328767,ian nepomniachtchi
1328773,ding
1328815,kasparov
1328893,ding
1328893,andrea botez
1328914,ding
1328944,ding liren
1328957,heraclitus
1329030,garry kasparov
