text_id,text,type
1080828,negreira,PERSON
1080885,fiscalía,ORGANIZATION
1080885,negreira,OTHER
1080877,negreira,PERSON
1080800,medina cantalejo,PERSON
1080800,rfef,ORGANIZATION
1080859,madrid,ORGANIZATION
1080804,negreira,EVENT
1080882,negreira,PERSON
1080823,barcelona,ORGANIZATION
1080823,negreira,PERSON
1080887,negreira,PERSON
1080857,uefa,ORGANIZATION
1080857,barcelona,ORGANIZATION
1080857,negreira,ORGANIZATION
1080799,negreira,PERSON
1080791,barcelona,ORGANIZATION
1080791,negreira,PERSON
1080798,negreira',PERSON
1080875,negreira,PERSON
1080825,real madrid,ORGANIZATION
1080825,negreira,PERSON
1080842,enríquez negreira,PERSON
1080801,negreira,ORGANIZATION
1080851,barsa,ORGANIZATION
1080831,negreira,PERSON
1080890,negreira,PERSON
1080890,barça,ORGANIZATION
1080872,negreira,PERSON
1080860,madrid,ORGANIZATION
1080860,barsa,ORGANIZATION
1080848,barsa,ORGANIZATION
1080871,fiscalía,ORGANIZATION
1080871,negreira,PERSON
1080980,barcelona,ORGANIZATION
1081081,negreira,PERSON
1081081,madrid,ORGANIZATION
1080793,negreira,ORGANIZATION
1080888,barça,ORGANIZATION
1080888,negreira,PERSON
1080951,barcelona,ORGANIZATION
1080951,negreira,PERSON
1081036,barça,ORGANIZATION
1081036,laporta,PERSON
1080904,negreira,PERSON
1081016,negreira,PERSON
1080914,negreira,PERSON
1080870,negreira,PERSON
1080983,rfef,ORGANIZATION
1081070,negreira,PERSON
1080899,negreira,PERSON
1080899,rfef,ORGANIZATION
1081051,negreira,PERSON
1080917,realmadrid,ORGANIZATION
1080917,negreira boys,ORGANIZATION
1080954,barsa,LOCATION
1081086,negreira,PERSON
1081007,madrid,ORGANIZATION
1081061,negreira,PERSON
1081079,negreira,PERSON
1080956,laporta,PERSON
1080909,real madrid,ORGANIZATION
1080909,madrid,ORGANIZATION
1081019,barsa,PERSON
1080931,negreira,PERSON
1080971,negreira fc,ORGANIZATION
1080995,madrid,ORGANIZATION
1080995,barsa,ORGANIZATION
1080995,negreira,ORGANIZATION
1080984,uefa,ORGANIZATION
1080938,barsa,ORGANIZATION
1081012,barsa,ORGANIZATION
1080832,negreira,PERSON
1081052,negreira,PERSON
1081052,barsa,ORGANIZATION
1081052,federación,ORGANIZATION
1081052,cta,ORGANIZATION
1081042,cta,ORGANIZATION
1081042,negreira,PERSON
1081011,negreira,PERSON
1081033,barsa,ORGANIZATION
1080934,negreira,PERSON
1081063,negreira,PERSON
1080794,negreira,PERSON
1080794,ctarfef,PERSON
1080794,rfef,PERSON
1081000,madrid,ORGANIZATION
1081000,barsa,ORGANIZATION
1080993,rfef,ORGANIZATION
1080993,cta,ORGANIZATION
1081073,barcelona,ORGANIZATION
1081073,barsa,ORGANIZATION
1081054,negreira fc,ORGANIZATION
1080978,barsa,ORGANIZATION
1080978,negreira,PERSON
1080992,negreira,PERSON
1080992,barça,ORGANIZATION
1080992,negreira,PERSON
1080992,barça,ORGANIZATION
1080973,negreira,PERSON
1080910,negreira,PERSON
1080941,barsa,PERSON
1081005,negreira,PERSON
1080869,ctarfef,ORGANIZATION
1080869,enríquez negreira,PERSON
1080994,negreira',PERSON
1080920,madrid,ORGANIZATION
1080920,barsa,ORGANIZATION
1080920,madrid,ORGANIZATION
1080920,barsa,ORGANIZATION
1080844,negreira,PERSON
1080844,negreira,PERSON
1080990,barsa,ORGANIZATION
1080977,negreira,PERSON
1080878,barcelona,ORGANIZATION
1080878,madrid,ORGANIZATION
1080878,negreira,PERSON
1080933,negreira,PERSON
1081010,barsa,PERSON
1081072,fiscalía,ORGANIZATION
1081072,negreira,OTHER
1081084,rfef,ORGANIZATION
1081084,negreira,PERSON
1081084,cta,OTHER
1081031,negreira,PERSON
1081031,barça,ORGANIZATION
1081029,barsa,LOCATION
1080930,negreira,PERSON
1080925,barcelona,ORGANIZATION
1080925,negreira,PERSON
1080963,uefa,ORGANIZATION
1080926,negreira,ORGANIZATION
1080988,negreira,PERSON
1080988,barça,ORGANIZATION
1080845,negreira,EVENT
1081064,negreira,PERSON
1080795,barça,ORGANIZATION
1080795,enríquez negreira,PERSON
1081030,fc barcelona,ORGANIZATION
1080958,barsa,LOCATION
1081014,negreira,PERSON
1081075,ctarfef,ORGANIZATION
1081028,cta,ORGANIZATION
1081028,negreira',PERSON
1080897,negreira,PERSON
1081688,negreira,PERSON
1081902,ancelotti,PERSON
1081902,negreira,PERSON
1081912,xavi,PERSON
1081912,negreira,EVENT
1081283,negreira,PERSON
1081402,barsa,LOCATION
1081389,negreira,PERSON
1081389,barcelona,ORGANIZATION
1081115,negreira,PERSON
1081115,barcelona,ORGANIZATION
1081381,madrid,ORGANIZATION
1081305,barsa,ORGANIZATION
1081305,barsa,ORGANIZATION
1081305,cta,ORGANIZATION
1081305,barsa,ORGANIZATION
1081094,barça,ORGANIZATION
1081094,negreira',ORGANIZATION
1081094,barça,ORGANIZATION
1081108,real madrid,ORGANIZATION
1081108,negreira,PERSON
1081936,ancelotti,PERSON
1081936,negreira',PERSON
1081239,barça,ORGANIZATION
1081239,negreira,PERSON
1081791,negreira,PERSON
1081330,negreira,PERSON
1081330,fc barcelona,ORGANIZATION
1081330,fiscalía,ORGANIZATION
1081394,barsa,ORGANIZATION
1081509,barsa,ORGANIZATION
1081468,real madrid,ORGANIZATION
1081468,barsa,ORGANIZATION
1081237,barcelona,ORGANIZATION
1081256,barsa,ORGANIZATION
1081256,rfef,ORGANIZATION
1081560,negreira,PERSON
1081833,barça,ORGANIZATION
1081833,negreira,PERSON
1081833,madrid,ORGANIZATION
1081954,fc barcelona,ORGANIZATION
1081954,negreira,PERSON
1081205,barsa,LOCATION
1081375,enríquez negreira,PERSON
1081375,real madrid,ORGANIZATION
1081375,madrid,ORGANIZATION
1081130,negreira,PERSON
1081130,barça,ORGANIZATION
1081980,negreira,PERSON
1081980,negreira,PERSON
1081940,negreira,PERSON
1081307,negreira,PERSON
1081934,madrid,ORGANIZATION
1081478,negreira,PERSON
1081582,negreira,PERSON
1081179,uefa,ORGANIZATION
1081179,barsa,ORGANIZATION
1081383,negreira,PERSON
1081383,barcelona,ORGANIZATION
1081383,fiscalía,ORGANIZATION
1081429,barsa,LOCATION
1081642,barsa,ORGANIZATION
1081157,vinicius,PERSON
1081157,negreira,PERSON
1081894,cta,ORGANIZATION
1081894,barcelona,ORGANIZATION
1081744,negreira,PERSON
1081870,negreira,LOCATION
1081232,negreira,PERSON
1081232,barcelona,ORGANIZATION
1081366,negreira,PERSON
1081366,barça,ORGANIZATION
1081366,fiscalía,ORGANIZATION
1081671,real madrid,ORGANIZATION
1081671,negreira,PERSON
1081671,laporta,PERSON
1081978,negreira,PERSON
1081261,negreira,PERSON
1081223,negreira,PERSON
1081439,barsa,PERSON
1081152,barsa,ORGANIZATION
1081152,barsa,ORGANIZATION
1081152,madrid,ORGANIZATION
1081233,negreira,PERSON
1081713,barcelona,ORGANIZATION
1081713,barcelona,ORGANIZATION
1081713,negreira,PERSON
1081713,barcelona,ORGANIZATION
1081303,negreira,PERSON
1081916,negreira',PERSON
1081203,negreira,PERSON
1081101,negreira,PERSON
1081941,negreira,PERSON
1081941,ctarfef,PERSON
1081740,estrada fernández,PERSON
1081740,negreira,PERSON
1081128,negreira,PERSON
1081234,negreira,PERSON
1081291,real madrid,ORGANIZATION
1081291,barsa,ORGANIZATION
1081842,negreira,PERSON
1081842,barça,ORGANIZATION
1081842,barça,ORGANIZATION
1081547,enríquez negreira,PERSON
1081557,barça,ORGANIZATION
1081557,negreira,PERSON
1081243,madrid,ORGANIZATION
1081243,barsa,ORGANIZATION
1081669,enríquez negreira,PERSON
1081669,fc barcelona,ORGANIZATION
1081979,negreira,PERSON
1081834,barça,ORGANIZATION
1081834,enríquez negreira,PERSON
1081834,cta,ORGANIZATION
1081834,rfef,ORGANIZATION
1081834,enríquez negreira,PERSON
1081834,enríquez negreira,PERSON
1081965,rfef,ORGANIZATION
1081965,negreira,ORGANIZATION
1081162,negreira,OTHER
1081743,negreira,PERSON
1081743,negreira,PERSON
1081743,negreira,PERSON
1081454,araujo,PERSON
1081454,negreira,PERSON
1081136,negreira,PERSON
1081136,barcelona,ORGANIZATION
1081906,madrid,ORGANIZATION
1081320,barsa,ORGANIZATION
1081674,negreira,PERSON
1081658,barsa,ORGANIZATION
1081248,estrada fernández,PERSON
1081248,negreira,PERSON
1081248,cta,ORGANIZATION
1081279,enríquez negreira,PERSON
1081647,gavi,PERSON
1080852,vinicius,PERSON
1080824,madrid,ORGANIZATION
1080824,barsa,ORGANIZATION
1080836,negreira,PERSON
1080841,laporta,PERSON
1080859,barsa,ORGANIZATION
1080816,real madrid,ORGANIZATION
1080866,real madrid,ORGANIZATION
1080802,barsa,ORGANIZATION
1080802,madrid,ORGANIZATION
1080808,barsa,PERSON
1080817,barsa,PERSON
1080812,madrid,ORGANIZATION
1080812,barsa,ORGANIZATION
1080833,negreira,PERSON
1080803,realmadrid,ORGANIZATION
1080807,negreira',PERSON
1080809,negreira,PERSON
1080811,enríquez negreira,PERSON
1080867,uefa,ORGANIZATION
1080867,negreira,ORGANIZATION
1080849,negreira,PERSON
1080856,negreira,PERSON
1080856,real madrid,ORGANIZATION
1080821,barsa,ORGANIZATION
1080889,barsa,ORGANIZATION
1080889,madrid,ORGANIZATION
1080858,negreira,PERSON
1080847,barsa,ORGANIZATION
1080805,enríquez negreira,PERSON
1080881,barça,ORGANIZATION
1080881,madrid,ORGANIZATION
1080879,barça,ORGANIZATION
1080879,enríquez negreira,PERSON
1080835,barsa,LOCATION
1080843,var,OTHER
1080843,barcelona,ORGANIZATION
1080843,real madrid,ORGANIZATION
1080843,negreira,PERSON
1081018,barsa,LOCATION
1080853,negreira,PERSON
1080853,medina cantalejo,PERSON
1080853,negreira,PERSON
1080896,barça,ORGANIZATION
1080918,madrid,ORGANIZATION
1081085,negreira,PERSON
1080965,barsa,ORGANIZATION
1080915,fiscalía,ORGANIZATION
1080915,negreira,OTHER
1080919,negreira,PERSON
1080907,negreira,PERSON
1080947,barsa,PERSON
1081083,negreira,PERSON
1081088,ctarfef,PERSON
1081074,estrada fernández,PERSON
1081074,negreira,PERSON
1080815,negreira,PERSON
1081023,negreira,PERSON
1081090,negreira,PERSON
1081066,negreira boys,ORGANIZATION
1081058,negreira,PERSON
1080956,negreira,PERSON
1080956,fc barcelona,ORGANIZATION
1080903,barça,ORGANIZATION
1080903,negreira,PERSON
1081071,negreira,PERSON
1081040,cta,ORGANIZATION
1081040,negreira,PERSON
1081049,negreira',ORGANIZATION
