text_id,labels,type,text
1080852,2,ORGANIZATION,Atlético de Madrid
1080828,24,PERSON,Negreira
1080862,3,PERSON,SETROI
1080862,3,PERSON,Negreira
1080862,3,ORGANIZATION,División
1080824,0,PERSON,Munuera
1080824,0,ORGANIZATION,Madrid
1080824,0,ORGANIZATION,Barsa
1080824,0,PERSON,barcelonistas
1080852,2,PERSON,Vinicius
1080877,-1,PERSON,Negreira
1080885,-1,ORGANIZATION,Fiscalía
1080885,-1,ORGANIZATION,Audiencia Nacional
1080885,-1,ORGANIZATION,F.C. Barcelona
1080885,-1,PERSON,miguelpr83
1080885,-1,ORGANIZATION,libertaddigital
1080846,4,PERSON,@Officialsaucek3
1080846,4,PERSON,@Farhan73
1080846,4,PERSON,@Dragonwind15
1080846,4,PERSON,@Ndenge11
1080846,4,PERSON,@ConradBert4
1080846,4,PERSON,@melvind298
1080836,-1,PERSON,NEGREIRA
1080836,-1,PERSON,Sànchez
1080846,4,PERSON,@Kyri84717261
1080846,4,PERSON,@himtiazxo
1080846,4,PERSON,@barsa__01
1080846,4,PERSON,@buck_wild_23
1080846,4,PERSON,@Ciro11255003
1080804,3,EVENT,Negreira
1080840,-1,ORGANIZATION,UnionistasCF
1080800,-1,PERSON,JGALLEGOonfire
1080800,-1,PERSON,Rubiales
1080800,-1,PERSON,Medina Cantalejo
1080800,-1,ORGANIZATION,'Caso
1080800,-1,PERSON,Presidente
1080800,-1,ORGANIZATION,RFEF
1080859,37,ORGANIZATION,PP
1080859,37,ORGANIZATION,PSOE
1080859,37,ORGANIZATION,Barsa
1080816,-1,PERSON,Barçagate
1080816,-1,ORGANIZATION,Real Madrid
1080816,-1,PERSON,Sergivalentin_
1080816,-1,PERSON,CeltBucks
1080816,-1,PERSON,pepegh7
1080816,-1,PERSON,Isidoro San José
1080816,-1,PERSON,MariaTrisac
1080855,-1,PERSON,Embajador del Fútbol Rosarino
1080855,-1,ORGANIZATION,FCBmasia
1080855,-1,PERSON,Juan Cruz Bejarano
1080841,-1,PERSON,Núñez
1080841,-1,PERSON,Gaspart
1080841,-1,PERSON,Laporta
1080841,-1,PERSON,Rosell
1080841,-1,PERSON,Bartomeu
1080841,-1,ORGANIZATION,'Caso Negreira'
1080859,37,ORGANIZATION,Madrid
1080859,37,ORGANIZATION,España
1080866,0,ORGANIZATION,Real madrid
1080808,0,PERSON,barsa
1080802,-1,ORGANIZATION,Gobierno
1080802,-1,ORGANIZATION,Barsa
1080802,-1,ORGANIZATION,Madrid
1080864,4,ORGANIZATION,YouTube
1080817,0,PERSON,Barsa
1080817,0,PERSON,tito Berni
1080817,0,PERSON,tito Negreira
1080812,-1,ORGANIZATION,Madrid
1080812,-1,ORGANIZATION,Barsa
1080812,-1,ORGANIZATION,Atleti
1080812,-1,ORGANIZATION,Betis de Pelegrini
1080812,-1,PERSON,Nabil Fekir
1080803,-1,ORGANIZATION,realmadrid
1080882,-1,ORGANIZATION,F.C Palancas
1080882,-1,PERSON,Negreira
1080833,-1,PERSON,Negreira
1080857,20,ORGANIZATION,UEFA
1080857,20,ORGANIZATION,Barcelona
1080857,20,ORGANIZATION,Negreira
1080823,17,ORGANIZATION,Barcelona
1080823,17,PERSON,Negreira
1080823,17,ORGANIZATION,elperiodico
1080887,-1,PERSON,Gijarro
1080887,-1,ORGANIZATION,fiscalia
1080887,-1,PERSON,Negreira
1080887,-1,ORGANIZATION,Palancas
1080803,-1,PERSON,tjcope
1080803,-1,PERSON,carrusel
1080803,-1,PERSON,lamacope
1080803,-1,PERSON,MundoMaldini
1080803,-1,PERSON,juanmacastano
1080798,-1,PERSON,Borja
1080791,17,ORGANIZATION,Barcelona
1080791,17,PERSON,Negreira
1080799,8,PERSON,Negreira
1080807,3,PERSON,Negreira'
1080809,-1,PERSON,Negreira
1080811,-1,PERSON,vicepresidente
1080811,-1,PERSON,Enríquez Negreira
