person,lower,count
fc barcelona,negreira,33
fc barcelona,real madrid,20
fc barcelona,enríquez negreira,20
fc barcelona,negreira',10
fc barcelona,uefa,9
fc barcelona,cta,7
fc barcelona,vicepresidente,6
fc barcelona,josé maría enríquez negreira,6
fc barcelona,barça,5
fc barcelona,fiscalía de barcelona,5
fc barcelona,comité técnico de árbitros,5
fc barcelona,presidente,4
fc barcelona,enriquez negreira,4
fc barcelona,joan laporta,3
fc barcelona,fiscalía,3
fc barcelona,marcosperiodico,3
fc barcelona,rfef,2
fc barcelona,espai barça,2
fc barcelona,barcelona,2
fc barcelona,pérez lima,2
fc barcelona,'el mundo',2
fc barcelona,economistjurist,2
fc barcelona,laporta,2
fc barcelona,la_ser,2
fc barcelona,madrid,2
fc barcelona,exvicepresidente,2
fc barcelona,exdirigente,2
fc barcelona,fifa,2
fc barcelona,gavi,2
fc barcelona,estrada fernandez,1
barcelona,negreira,226
barcelona,real madrid,62
barcelona,madrid,56
barcelona,barsa,52
barcelona,enríquez negreira,27
barcelona,estrada fernández,19
barcelona,uefa,17
barcelona,fiscalía,14
barcelona,laporta,12
barcelona,var,11
barcelona,cta,11
barcelona,rfef,11
barcelona,lendoiro,11
barcelona,espai barça,10
barcelona,dvinuesa,9
barcelona,enríquez negreira',9
barcelona,libertaddigital,9
barcelona,dr_dominguez,9
barcelona,elmundoes,8
barcelona,barça,8
barcelona,medina cantalejo,7
barcelona,federación española,7
barcelona,vinicius,7
barcelona,vicepresidente,7
barcelona,messi,6
barcelona,fcb,6
barcelona,xavi,6
barcelona,presidente,5
barcelona,gavi,5
barcelona,eder militao,5
pedri,barsa,40
pedri,lewandowski,35
pedri,madrid,19
pedri,dembele,19
pedri,lewan,10
pedri,dembelé,10
pedri,christensen,9
pedri,dembélé,8
pedri,negreira,7
pedri,barça,6
pedri,real madrid,5
pedri,barcelona,4
pedri,gavi,4
pedri,benzema,3
pedri,lewandosky,3
pedri,lewandoski,3
pedri,el barsa,3
pedri,enríquez negreira,3
pedri,vinicius,2
pedri,araujo,2
pedri,lewy,2
pedri,modric,2
pedri,xavi,2
pedri,de jong,2
pedri,lewandouski,2
pedri,busquets,2
pedri,europa league,2
pedri,europalí,2
pedri,almería,2
pedri,dembelè,1
ctarfef,negreira,74
ctarfef,rfef,39
ctarfef,cta,16
ctarfef,estrada fernández,10
ctarfef,laliga,10
ctarfef,fcbarcelona_es,9
ctarfef,enríquez negreira,9
ctarfef,medina cantalejo,9
ctarfef,madrid,7
ctarfef,medina,6
ctarfef,enriquez negreira,5
ctarfef,tebasjavier,5
ctarfef,barcelona,5
ctarfef,estrada,4
ctarfef,barsa,4
ctarfef,gavi,4
ctarfef,andreu camps,4
ctarfef,vicepresidente,3
ctarfef,vinicius,3
ctarfef,presidente,3
ctarfef,movistarfutbol,3
ctarfef,var,2
ctarfef,secretario general,2
ctarfef,sindicato negreira,2
ctarfef,real madrid,2
ctarfef,barça,2
ctarfef,negreira',2
ctarfef,mateu lahoz,2
ctarfef,fernández,2
ctarfef,fc negreira,1
negreira,barça,381
negreira,barcelona,229
negreira,madrid,199
negreira,gavi,173
negreira,rfef,150
negreira,cta,146
negreira,vinicius,122
negreira,estrada fernández,108
negreira,medina cantalejo,95
negreira,real madrid,90
negreira,ctarfef,80
negreira,fiscalía,60
negreira,barsa,56
negreira,uefa,56
negreira,laporta,51
negreira,federación,51
negreira,munuera,49
negreira,xavi,36
negreira,vini,36
negreira,andreu camps,36
negreira,var,35
negreira,barca,34
negreira,araujo,34
negreira,fc barcelona,33
negreira,libertaddigital,32
negreira,vicepresidente,32
negreira,munuera montero,31
negreira,fcb,28
negreira,bartomeu,28
negreira,fcbarcelona_es,27
madrid,barsa,656
madrid,negreira,189
madrid,barcelona,55
madrid,barça,52
madrid,vinicius,35
madrid,xavi,33
madrid,real madrid,27
madrid,ancelotti,22
madrid,pedri,19
madrid,gavi,18
madrid,el,18
madrid,benzema,15
madrid,madridistas,15
madrid,modric,14
madrid,vini,14
madrid,laporta,13
madrid,florentino,12
madrid,ctarfef,12
madrid,atleti,12
madrid,el barsa,11
madrid,enríquez negreira,11
madrid,almería,10
madrid,lewandowski,8
madrid,liverpool,8
madrid,atlético,8
madrid,dembele,8
madrid,messi,8
madrid,negreira fc,7
madrid,osasuna,7
madrid,realmadrid,7
negreira boys,real madrid,8
negreira boys,madrid,3
negreira boys,realmadrid,3
negreira boys,de jong,3
negreira boys,vini,2
negreira boys,barça,2
negreira boys,gavi,2
negreira boys,vinicius,2
negreira boys,camavinga,1
negreira boys,ceballos,1
negreira boys,celotti,1
negreira boys,"courtois 
carvajal",1
negreira boys,daniel ceballos,1
negreira boys,el barca,1
negreira boys,gaby,1
negreira boys,henry,1
negreira boys,jesusbengoechea,1
negreira boys,jotajordi13,1
negreira boys,kesee,1
negreira boys,kroos,1
negreira boys,kuruskulelia,1
negreira boys,laorga,1
negreira boys,málaga,1
negreira boys,"modric
fede 
benzema",1
negreira boys,montero,1
negreira boys,munuera,1
negreira boys,nápoles,1
negreira boys,palancas fc,1
negreira boys,pepe mel,1
negreira boys,rata parisina,1
var,negreira,65
var,estrada fernández,45
var,enríquez negreira,26
var,gonzález gonzález,19
var,barcelona,12
var,cta,8
var,barsa,7
var,barça,6
var,madrid,6
var,fiscalía,5
var,ctarfef,4
var,fernández,4
var,negreira',3
var,rayo,3
var,roures,3
var,rfef,3
var,cádiz,3
var,estrada fernandez,3
var,athletic,3
var,estrada,3
var,real sociedad,3
var,diarioas,2
var,kessie,2
var,barsą,2
var,munuera montero,2
var,laliga,2
var,real madrid,2
var,avar,2
var,comité técnico de árbitros,2
var,comité de árbitros,2
barsa,madrid,670
barsa,real madrid,123
barsa,xavi,63
barsa,negreira,57
barsa,barcelona,49
barsa,el,46
barsa,ancelotti,40
barsa,vinicius,35
barsa,pedri,34
barsa,gavi,30
barsa,atleti,29
barsa,messi,29
barsa,modric,24
barsa,atlético,22
barsa,lewandowski,20
barsa,vini,19
barsa,real,17
barsa,realmadrid,16
barsa,kroos,16
barsa,benzema,16
barsa,ansu fati,16
barsa,militao,15
barsa,araujo,15
barsa,liverpool,13
barsa,madridistas,13
barsa,florentino,12
barsa,almería,12
barsa,dembele,11
barsa,cholo,11
barsa,osasuna,11
el barsa,madrid,13
el barsa,barcelona,5
el barsa,real madrid,5
el barsa,xavi,4
el barsa,pedri,3
el barsa,lewandowski,2
el barsa,roures,2
el barsa,barsa,2
el barsa,almeria,2
el barsa,carrasco,2
el barsa,atleti,2
el barsa,christensen,1
el barsa,cruyff,1
el barsa,culers,1
el barsa,dembele,1
el barsa,dembélé,1
el barsa,el,1
el barsa,elche,1
el barsa,eric garcía,1
el barsa,europa league,1
el barsa,extremadura,1
el barsa,florentino,1
el barsa,kroos,1
el barsa,lewan,1
el barsa,liverpool,1
el barsa,man u,1
el barsa,matias prats,1
el barsa,messi,1
el barsa,metropolitano,1
el barsa,modric,1
rfef,negreira,137
rfef,andreu camps,44
rfef,cta,39
rfef,negreira',38
rfef,ctarfef,36
rfef,barça,26
rfef,secretario general,21
rfef,estrada fernández,20
rfef,uefa,20
rfef,laliga,18
rfef,enríquez negreira,16
rfef,fiscalía,15
rfef,barcelona,12
rfef,rubiales,10
rfef,presidente,10
rfef,albert soler,9
rfef,barsa,8
rfef,medina cantalejo,8
rfef,luis medina cantalejo,8
rfef,vicepresidente,7
rfef,enriquez negreira,7
rfef,hacienda,7
rfef,csd,7
rfef,tebasjavier,7
rfef,federación española,7
rfef,real madrid,6
rfef,fcbarcelona_es,6
rfef,comité de árbitros,6
rfef,secrétaire général,5
rfef,gobierno,5
federación,negreira,48
federación,barça,11
federación,anticorrupción,10
federación,liga,8
federación,enríquez negreira,7
federación,negreira',7
federación,cta,6
federación,voz_populi,5
federación,barsa,4
federación,rfef,4
federación,madrid,4
federación,fiscalía,3
federación,vicepresidente,2
federación,el mundo,2
federación,negreirismo,2
federación,real madrid,2
federación,uefa,2
federación,comité,2
federación,laliga,2
federación,caso negreira,2
federación,lasextatv,2
federación,comité de árbitros,2
federación,gavi,2
federación,audiencia nacional,2
federación,gobierno,2
federación,fifa,2
federación,camps,2
federación,jpedrerol,2
federación,fc barcelona,1
federación,cádiz,1
medina cantalejo,negreira,90
medina cantalejo,cta,33
medina cantalejo,presidente,16
medina cantalejo,barça,13
medina cantalejo,negreira',13
medina cantalejo,enríquez negreira,11
medina cantalejo,barcelona,9
medina cantalejo,ctarfef,9
medina cantalejo,rfef,9
medina cantalejo,vicepresidente,8
medina cantalejo,andreu camps,7
medina cantalejo,comité técnico de árbitros,6
medina cantalejo,sánchez arminio,6
medina cantalejo,rolex,5
medina cantalejo,rubiales,5
medina cantalejo,barsa,5
medina cantalejo,estrada fernández,5
medina cantalejo,enriquez negreira,5
medina cantalejo,diarioas,3
medina cantalejo,madrid,3
medina cantalejo,la_ser,3
medina cantalejo,fcbarcelona,3
medina cantalejo,estrada,3
medina cantalejo,'caso negreira',3
