person,word,count
fc barcelona,negreira,68
fc barcelona,case,35
fc barcelona,enrquez,27
fc barcelona,madrid,24
fc barcelona,real,22
fc barcelona,referee,18
fc barcelona,payment,16
fc barcelona,president,14
fc barcelona,#barsa,13
fc barcelona,euros,13
fc barcelona,barcelona,12
fc barcelona,vice,10
fc barcelona,corruption,10
fc barcelona,investigation,9
fc barcelona,year,9
fc barcelona,prosecutor,8
fc barcelona,match,8
fc barcelona,collection,8
fc barcelona,son,8
fc barcelona,sports,8
fc barcelona,paid,8
fc barcelona,uefa,8
fc barcelona,office,8
fc barcelona,month,8
fc barcelona,#futbol,7
fc barcelona,#ada,7
fc barcelona,#atleti,7
fc barcelona,jos,7
fc barcelona,#elclsico,7
fc barcelona,public,7
barcelona,negreira,264
barcelona,madrid,108
barcelona,case,97
barcelona,barsa,76
barcelona,referee,67
barcelona,euros,66
barcelona,real,65
barcelona,month,60
barcelona,collection,60
barcelona,cash,58
barcelona,withdrew,58
barcelona,egreira,48
barcelona,arbitration,42
barcelona,enrquez,40
barcelona,goal,30
barcelona,president,26
barcelona,play,25
barcelona,match,23
barcelona,today,23
barcelona,investigation,23
barcelona,team,22
barcelona,classic,22
barcelona,estrada,22
barcelona,year,21
barcelona,payment,21
barcelona,fernndez,21
barcelona,thing,20
barcelona,corruption,20
barcelona,league,20
barcelona,talk,19
pedri,barsa,2
pedri,beat,1
pedri,brutal,1
pedri,dembele,1
pedri,lewan,1
pedri,lewandowski,1
pedri,liverpool,1
pedri,lose,1
pedri,score,1
pedri,victory,1
ctarfef,arbitration,1
ctarfef,barcelona,1
ctarfef,decided,1
ctarfef,denounce,1
ctarfef,estrada,1
ctarfef,favor,1
ctarfef,fernndez,1
ctarfef,negreira,1
ctarfef,punishment,1
ctarfef,referee,1
ctarfef,scandal,1
ctarfef,treatment,1
ctarfef,var,1
negreira,month,60
negreira,euros,54
negreira,cash,54
negreira,barcelona,54
negreira,collection,52
negreira,case,46
negreira,withdrew,45
