,0,1
1082690,21.05398,2.6864083
1085271,17.412407,6.692781
1087939,16.66011,6.667464
1080961,19.740953,2.5971076
1089322,16.152643,6.3819895
1088242,17.66763,6.375362
1082254,19.813488,3.0580864
1089273,15.816768,8.137742
1080847,21.029184,3.585598
1083279,15.35818,5.059091
1086514,15.757758,5.8936143
1083408,21.149006,3.6682804
1080816,17.051558,6.5160704
1085027,15.066535,5.4468617
1082710,14.779448,5.46177
1085758,18.932772,0.86215866
1087673,14.34261,5.4435444
1082582,13.251477,5.440251
1089750,15.934687,8.608489
1084433,20.313288,3.3371885
1085399,17.351164,8.063248
1089644,16.481464,7.9308457
1089880,16.809929,7.087068
1085550,16.720097,4.807112
1086461,16.188198,5.918217
1083490,18.6788,1.6344535
1083098,16.496534,4.676067
1086416,16.99072,7.081876
1081899,13.875583,5.484184
1085002,19.780502,1.0008802
1083821,20.736227,1.7953916
1086178,16.202436,4.3252482
1086108,16.239828,4.556365
1088959,15.484515,8.479149
1086536,19.425009,1.2960953
1084042,20.898281,3.9122374
1086268,16.387524,6.1787667
1086927,15.194727,6.937941
1081385,19.931284,4.1854496
1083489,19.14985,0.37039667
1085294,20.662558,0.66963196
1085134,19.12246,0.3336206
1086027,20.675299,5.1234655
1082683,21.578894,2.76889
1087804,15.3963785,4.7872076
1084100,14.228749,5.692101
1085543,20.72648,0.52335453
1088681,16.184013,7.167967
1088164,18.262646,3.8503125
1083450,15.534291,4.989111
1083705,20.279016,4.438407
1088727,16.10444,7.4900656
1087667,14.539413,5.4310427
1086449,18.971775,3.2801547
1081738,17.285192,7.2984333
1084309,20.366415,3.3071744
1086168,20.72519,3.1195753
1088435,20.524937,1.6661882
1085616,14.405117,4.5716133
1086393,16.015694,5.765537
1082630,19.479954,0.36099234
1085386,20.141376,1.0748106
1088367,14.833786,9.521104
1081062,15.776237,8.358536
1081571,14.797233,4.508158
1084750,20.66744,1.5755334
1083741,20.352028,3.7993097
1086077,21.587917,2.991064
1089200,15.753984,8.656768
1086500,19.446817,1.884539
1082824,19.53629,0.68416584
1087767,19.123886,3.3438833
1082460,20.519495,3.7737825
1086691,14.404453,4.555455
1086892,21.07186,3.4795969
1083446,21.381727,4.28841
1087145,15.480892,6.859472
1082484,8.506019,5.8006516
1081831,12.561794,5.17426
1083615,20.46976,2.2228014
1081195,16.589268,6.574066
1082788,16.124233,6.890899
1082517,20.418139,4.469007
1082696,16.763542,6.0369334
1084580,14.395377,4.56247
1087660,19.628727,0.20366961
1084232,19.597822,0.7322193
1088177,17.959793,6.5073743
1087826,19.626314,0.21970841
1082031,20.696856,4.9696937
1084842,20.463772,2.7101762
1081482,16.466015,7.07703
1084177,20.19126,3.5691464
1089255,16.63953,6.3878713
1087235,14.293031,5.6383786
1087404,14.193053,5.4416585
1088537,16.93493,6.6174474
1087995,17.881128,6.422869
1083476,21.583694,3.5528479
1084783,21.500254,3.5968635
1089361,15.277786,8.853231
1086910,20.360893,0.7796283
1089201,16.4739,7.218032
1084789,20.125565,0.55826205
1082034,20.371275,3.0239694
1087913,18.128653,6.417533
1084337,19.683674,0.93582815
1085970,16.373346,5.411872
1082802,20.815355,4.1134915
1086096,20.011482,3.7687852
1083233,21.355803,3.5333624
1086868,16.24697,4.460826
1089263,16.89761,6.5799165
1085428,15.331978,5.564489
1082322,20.245243,0.91164917
1081088,16.338633,6.5337133
1090046,16.316105,7.4842696
1082208,16.616302,6.2308087
1081472,16.328869,6.8488746
1089074,15.951133,7.220498
1082066,20.113111,0.90773183
1088445,16.619514,6.111266
1083734,21.369392,2.3047814
1090085,13.189355,5.4341173
1083883,21.582378,2.7901735
1087797,18.299046,3.4218643
1083747,18.803839,3.2255402
1084159,19.841633,4.0569043
1083368,18.675804,1.6171751
1087570,19.69363,4.7746334
1085905,18.939035,0.85238
1081934,20.507175,3.8377852
1089692,18.757797,1.1046549
1082769,20.914747,1.2237539
1080877,14.151461,6.0435357
1087657,20.859844,1.083915
1081355,14.494152,7.6727734
1082174,18.644152,1.1111169
1087046,19.011847,2.0715947
1082621,20.740057,4.286137
1085034,20.58392,1.696641
1089856,14.502982,7.388274
1087170,14.310857,5.801947
1088485,21.225857,3.9249752
1088479,21.262222,1.9115694
1084378,20.430958,2.0844774
1087199,16.296644,4.7431736
1087263,16.05333,6.4282856
1082457,21.14789,1.8232691
1088752,18.125065,6.386128
1084695,20.82833,1.2743268
1084834,21.211681,4.020188
