,0,1,2,3,4
1082690,15.5919485,4.4158835,-3.3593187,2.5037096,12.199993
1085271,15.630868,5.7113495,0.8374289,-0.6762281,11.377816
1087939,15.730601,5.3724513,0.39601356,-0.6541202,10.7521305
1080961,14.725607,4.6673827,-2.900752,2.08953,12.303938
1089322,15.593899,5.310893,0.33639878,-0.63485384,10.014293
1088242,15.675071,5.9073896,0.57254225,-0.37331295,11.557625
1082254,15.035795,4.919205,-2.7070408,2.000266,12.158721
1089273,15.048402,5.4227943,1.6311367,-1.5034969,10.433601
1080847,16.309023,5.096583,-3.0976577,1.9995388,11.901859
1083279,15.001979,6.511381,-0.05267986,0.3560638,9.737643
1086514,15.242287,5.400699,0.21207054,-0.42620066,9.487623
1083408,16.153389,5.1632185,-2.9368033,2.1249375,11.692883
1080816,15.580538,5.928735,0.3680713,-0.618769,10.989938
1085027,14.915731,6.456039,0.3313966,0.0041807694,9.227638
1082710,14.7955265,6.6872053,0.5365869,-0.05011927,9.534128
1085758,13.3224125,4.140837,-3.7876637,2.3060572,13.13683
1087673,14.500764,6.8070436,0.67239714,-0.0976171,9.038369
1082582,13.850967,7.2217174,1.4402888,-0.1518132,9.388052
1089750,15.265806,5.149268,1.8477279,-1.4095758,10.772099
1084433,15.591684,5.0407753,-3.2257223,1.8944029,12.481119
1085399,15.786742,5.2881484,1.1427718,-2.021261,11.276617
1089644,15.295265,4.9296017,1.0293938,-1.3965387,10.156389
1089880,15.880185,5.6173587,0.6683952,-0.9683092,10.926183
1085550,14.912598,5.008351,-0.14381334,0.1034152,9.852964
1086461,15.562856,5.9646773,0.117659725,-0.29992026,10.135111
1083490,13.6569,4.953753,-3.3358889,1.9125694,13.104635
1083098,14.720857,5.1295767,-0.0060111573,0.10707066,9.670438
1086416,16.217926,5.6212893,0.47547176,-1.0573511,10.942201
1081899,14.26457,7.0021996,1.0024164,-0.094744794,9.088691
1085002,14.062981,3.6857438,-4.053338,2.4352756,13.098139
1083821,15.082067,3.9587708,-3.7946877,2.5084007,12.43095
1086178,14.576085,5.0857196,-0.07050994,0.054901578,9.270162
1086108,14.881985,5.132331,-0.11846977,-0.079449356,9.403074
1088959,14.818287,5.63845,1.8044941,-1.423043,10.670012
1086536,13.937075,3.7204802,-3.6778355,2.1108046,12.774284
1084042,16.149723,5.23499,-2.9360926,2.0058582,12.057245
1086268,15.910813,6.0847526,0.37898213,-0.4275932,10.145284
1086927,16.111969,6.2375674,1.0096579,-0.5972051,10.225399
1081385,15.481045,5.2128015,-2.4207993,1.8073409,11.9262
1083489,14.041941,3.7538633,-3.7410822,2.0950222,13.558599
1085294,14.157165,3.84955,-3.7020118,3.1250265,12.67603
1085134,13.990776,3.7393048,-3.718735,2.1026442,13.585888
1086027,15.533622,6.090079,-2.3385198,2.0803616,11.490397
1082683,15.992369,4.1831126,-3.1954536,2.2687852,11.835514
1087804,15.05934,6.6763096,-0.105480105,0.6289736,9.936152
1084100,14.634602,6.8253527,0.82363194,-0.21786618,8.954021
1085543,14.225346,3.932049,-3.7459526,3.3276484,12.7029
1088681,16.229956,5.7486234,0.903339,-1.0289932,10.582688
1088164,15.104971,4.5718517,1.2816978,-1.0504792,11.226174
1083450,15.167867,6.3852496,-0.062615134,0.46265578,9.661481
1083705,15.917718,5.5319347,-2.4226265,1.7660233,11.759213
1088727,15.425661,5.0453434,0.81794244,-1.1326292,10.286026
1087667,14.727372,6.8396134,0.60966694,-0.041285686,9.210724
1086449,15.089876,4.122704,-2.2065098,1.5265208,11.872077
1081738,15.198773,5.854501,0.7479748,-0.96987456,11.066711
1084309,15.522834,5.226715,-3.2423272,1.8227137,12.161065
1086168,15.726581,5.18494,-3.2116914,2.283118,11.965332
1088435,14.864943,3.949788,-3.5985177,2.521625,12.4219
1085616,14.688328,6.789527,0.779942,0.6167075,9.547603
1086393,15.242058,5.2173157,0.061723042,-0.39546415,9.608534
1082630,13.758286,3.6000054,-3.5930884,2.5065575,13.402044
1085386,14.241592,3.7133064,-3.9475071,2.673221,12.694898
