text_id,date,labels,positive_score,neutral_score,negative_score
1082999,2023-03-02,132,0.92,0.07,0.0
1083000,2023-03-02,8,0.24,0.72,0.04
1083040,2023-03-02,-1,0.04,0.79,0.17
1083114,2023-03-02,-1,0.01,0.08,0.91
1084183,2023-03-02,-1,0.98,0.01,0.0
1083115,2023-03-02,-1,0.04,0.17,0.79
1083240,2023-03-02,-1,0.99,0.01,0.0
1083664,2023-03-02,-1,0.07,0.73,0.2
1084509,2023-03-02,-1,0.05,0.53,0.42
1084462,2023-03-02,6,0.06,0.82,0.13
1084649,2023-03-02,36,0.02,0.86,0.12
1084510,2023-03-02,50,0.04,0.89,0.08
1080791,2023-02-28,-1,0.02,0.95,0.03
1080792,2023-02-28,-1,0.38,0.61,0.01
1080793,2023-02-28,-1,0.02,0.77,0.21
1080794,2023-02-28,99,0.01,0.08,0.91
1080795,2023-02-28,-1,0.01,0.53,0.46
1080796,2023-02-28,-1,0.01,0.38,0.61
1080822,2023-02-28,166,0.03,0.94,0.04
1080823,2023-02-28,-1,0.02,0.96,0.03
1080824,2023-02-28,-1,0.14,0.49,0.37
1080825,2023-02-28,-1,0.23,0.71,0.05
1080826,2023-02-28,-1,0.04,0.34,0.62
1080828,2023-02-28,101,0.02,0.31,0.67
1080830,2023-02-28,-1,0.02,0.58,0.4
1080831,2023-02-28,-1,0.01,0.16,0.83
1080832,2023-02-28,60,0.02,0.65,0.32
1080833,2023-02-28,-1,0.03,0.58,0.39
1080834,2023-02-28,-1,0.04,0.81,0.15
1080835,2023-02-28,-1,0.06,0.93,0.02
1080836,2023-02-28,-1,0.01,0.19,0.79
1080837,2023-02-28,-1,0.01,0.15,0.84
1080839,2023-02-28,20,0.67,0.3,0.02
1080840,2023-02-28,-1,0.04,0.5,0.45
1080841,2023-02-28,-1,0.03,0.96,0.01
1080842,2023-02-28,-1,0.07,0.92,0.01
1080843,2023-02-28,63,0.03,0.95,0.01
1080844,2023-02-28,73,0.02,0.63,0.36
1080845,2023-02-28,166,0.01,0.57,0.42
1080846,2023-02-28,-1,0.43,0.57,0.01
1080847,2023-02-28,1,0.08,0.25,0.67
1080848,2023-02-28,22,0.04,0.67,0.29
1080849,2023-02-28,-1,0.03,0.93,0.04
1080850,2023-02-28,-1,0.01,0.43,0.56
1080851,2023-02-28,-1,0.01,0.13,0.85
1080852,2023-02-28,2,0.02,0.28,0.7
1080853,2023-02-28,114,0.17,0.82,0.01
1084650,2023-03-02,77,0.12,0.71,0.16
1080854,2023-02-28,111,0.02,0.44,0.53
1080855,2023-02-28,-1,0.4,0.6,0.01
1080856,2023-02-28,-1,0.18,0.81,0.01
1080798,2023-02-28,-1,0.02,0.71,0.27
1080799,2023-02-28,0,0.04,0.64,0.32
1080857,2023-02-28,19,0.01,0.68,0.31
1080858,2023-02-28,59,0.01,0.1,0.89
1080859,2023-02-28,75,0.01,0.18,0.81
1080860,2023-02-28,86,0.15,0.82,0.02
1080862,2023-02-28,-1,0.03,0.95,0.02
1080863,2023-02-28,-1,0.02,0.96,0.02
1080864,2023-02-28,80,0.03,0.87,0.11
1080866,2023-02-28,69,0.09,0.88,0.03
1080867,2023-02-28,19,0.03,0.82,0.15
1080868,2023-02-28,106,0.01,0.62,0.37
1080869,2023-02-28,-1,0.01,0.35,0.63
1080870,2023-02-28,88,0.05,0.74,0.21
1080871,2023-02-28,9,0.03,0.92,0.05
1080872,2023-02-28,0,0.09,0.82,0.1
1080873,2023-02-28,-1,0.98,0.02,0.0
1080875,2023-02-28,180,0.14,0.84,0.02
1080876,2023-02-28,19,0.03,0.34,0.63
1080877,2023-02-28,0,0.05,0.88,0.07
1080878,2023-02-28,101,0.02,0.45,0.53
1080879,2023-02-28,-1,0.01,0.08,0.91
1080880,2023-02-28,114,0.17,0.82,0.01
1080881,2023-02-28,-1,0.02,0.43,0.55
1080882,2023-02-28,-1,0.1,0.89,0.01
1080883,2023-02-28,-1,0.03,0.92,0.05
1080885,2023-02-28,9,0.03,0.95,0.02
1080886,2023-02-28,137,0.82,0.17,0.01
1080887,2023-02-28,-1,0.03,0.9,0.07
1080888,2023-02-28,80,0.03,0.55,0.42
1080889,2023-02-28,-1,0.02,0.56,0.43
1080890,2023-02-28,-1,0.07,0.76,0.17
1080891,2023-03-01,-1,0.02,0.51,0.48
1080892,2023-03-01,8,0.41,0.37,0.22
1080894,2023-03-01,-1,0.05,0.93,0.02
1080895,2023-03-01,-1,0.01,0.1,0.9
1080896,2023-03-01,189,0.02,0.91,0.07
1080897,2023-03-01,-1,0.02,0.1,0.88
1080898,2023-03-01,168,0.04,0.24,0.72
1080899,2023-03-01,-1,0.01,0.25,0.74
1080900,2023-03-01,-1,0.1,0.57,0.33
1080902,2023-03-01,-1,0.01,0.13,0.86
1080903,2023-03-01,189,0.02,0.9,0.08
1080904,2023-03-01,0,0.7,0.29,0.01
1080905,2023-03-01,51,0.04,0.7,0.27
1080906,2023-03-01,89,0.38,0.61,0.01
1080907,2023-03-01,170,0.05,0.88,0.07
1080909,2023-03-01,-1,0.34,0.62,0.04
1080910,2023-03-01,-1,0.02,0.74,0.25
1080911,2023-03-01,114,0.03,0.9,0.07
1080912,2023-03-01,-1,0.18,0.81,0.01
1080913,2023-03-01,-1,0.08,0.65,0.26
1080914,2023-03-01,179,0.32,0.66,0.02
1080915,2023-03-01,9,0.03,0.95,0.02
1080917,2023-03-01,25,0.55,0.42,0.02
1080918,2023-03-01,7,0.58,0.39,0.03
1080919,2023-03-01,-1,0.16,0.81,0.02
1080984,2023-03-01,-1,0.04,0.32,0.64
1080920,2023-03-01,1,0.01,0.1,0.89
1080921,2023-03-01,90,0.11,0.74,0.15
1080923,2023-03-01,-1,0.01,0.37,0.62
1080924,2023-03-01,168,0.03,0.35,0.63
1080925,2023-03-01,-1,0.02,0.96,0.02
1080926,2023-03-01,35,0.93,0.07,0.0
1080927,2023-03-01,178,0.02,0.7,0.28
1080928,2023-03-01,-1,0.03,0.91,0.06
1080929,2023-03-01,190,0.12,0.87,0.01
1080930,2023-03-01,19,0.1,0.33,0.57
1080931,2023-03-01,0,0.01,0.47,0.51
1080932,2023-03-01,-1,0.03,0.4,0.57
1080933,2023-03-01,24,0.01,0.08,0.91
1080934,2023-03-01,19,0.01,0.14,0.85
1080936,2023-03-01,-1,0.01,0.28,0.71
1080937,2023-03-01,19,0.07,0.75,0.18
1080938,2023-03-01,-1,0.94,0.06,0.0
1080940,2023-03-01,52,0.02,0.17,0.82
1080941,2023-03-01,167,0.21,0.63,0.16
1080943,2023-03-01,-1,0.07,0.46,0.47
1080944,2023-03-01,166,0.01,0.57,0.42
1080945,2023-03-01,-1,0.03,0.8,0.17
1080946,2023-03-01,-1,0.39,0.52,0.09
1080947,2023-03-01,168,0.11,0.45,0.44
1080948,2023-03-01,-1,0.54,0.45,0.01
1080950,2023-03-01,72,0.1,0.77,0.14
1080951,2023-03-01,123,0.02,0.21,0.77
1080985,2023-03-01,20,0.01,0.05,0.94
1080953,2023-03-01,-1,0.42,0.56,0.02
1080954,2023-03-01,37,0.69,0.29,0.02
1080955,2023-03-01,-1,0.98,0.02,0.0
1080956,2023-03-01,-1,0.1,0.9,0.0
1080957,2023-03-01,-1,0.08,0.78,0.14
