id,source,content,lang,retweet_count,reply_count,like_count,quote_count,impression_count,date
378773,twitter,"#🇭🇷Vs🇦🇷. ,🇦🇷Vs🇭🇷 Listos(a) para las semifinales. 
#WorldCup2022 #FIFAWorldCupQatar2022 #FIFAWorldCup
@Ismael_Rubio__
@TheXFilter @banana_comics @FIDE_chess @chesscom_es @chesscom @Oskiki77 @babelinfinito
🤫 https://t.co/SIJyXOf040 https://t.co/7GYySnUjzV",es,0.0,0.0,0.0,0.0,,2022-12-12
489974,twitter,Así no se puede pensar en otra cosa 😂 Muchachoooos 🎶#ajedrez #futbol #chess  #Messi𓃵 #WorldCup2022 #fide https://t.co/0Usuv10Inm,es,9.0,2.0,37.0,1.0,,2022-12-29
1429692,twitter,@Dlassche1 @MartinRossini @FIDE_chess English,en,0.0,0.0,0.0,0.0,11.0,2023-05-01
1369148,twitter,"@FilizlerFuat @FIDE_chess U can be pro or anti gambling, but genocide it is not.",en,0.0,2.0,15.0,0.0,669.0,2023-04-22
1368657,twitter,"@FilizlerFuat @PHChess @FIDE_chess he will not answer not even in 100 years 
i asked him 100 times before but he evade every time",en,0.0,0.0,3.0,0.0,85.0,2023-04-22
1368658,twitter,@PHChess @FIDE_chess This man should concentrate on politics and leave Chess alone. Pathetic,en,0.0,1.0,2.0,0.0,260.0,2023-04-22
1526268,twitter,@vlad_chess @FIDE_chess There is always tomorrow 🙂,en,0.0,0.0,0.0,0.0,15.0,2023-05-13
1382974,twitter,@jiggs_life @FIDE_chess mmm....what r u talking about?,en,0.0,0.0,0.0,0.0,110.0,2023-04-24
1361760,twitter,@camicravestea @ChessProblem @FIDE_chess Depends on how much water they're drinking,en,0.0,0.0,0.0,0.0,23.0,2023-04-21
1388801,twitter,"@Ingestibile79 @FIDE_chess Oltretutto, la bandiera della Russia. A scacchi.
Come se nelle gare di judo vietassero la bandiera giapponese.",it,3.0,1.0,10.0,0.0,273.0,2023-04-25
1376914,twitter,@munsterinsider3 @FIDE_chess @Care2much18 You can't even defeat her woth odds stfu,en,0.0,0.0,10.0,0.0,97.0,2023-04-23
