date,token,count,orden,word
2023-01-12,shakira,13923,1,shakira
2023-01-12,piqu,5107,2,piqu
2023-01-12,song,2998,3,song
2023-01-12,session,1916,4,session
2023-01-12,love,1434,5,love
2023-01-12,women,1286,6,women
2023-01-12,@shakira,1260,7,@shakira
2023-01-12,listen,823,8,listen
2023-01-12,#shakira,743,9,#shakira
2023-01-12,good,693,10,good
2023-01-12,bizarrap,690,11,bizarrap
2023-01-12,thing,688,12,thing
2023-01-12,bzrp,567,13,bzrp
2023-01-12,music,565,14,music
2023-01-12,queen,557,15,queen
2023-01-12,children,431,16,children
2023-01-12,time,405,17,time
2023-01-12,twingo,389,18,twingo
2023-01-12,throw,384,19,throw
2023-01-12,great,383,20,great
2023-01-13,shakira,7111,1,shakira
2023-01-13,piqu,2977,2,piqu
2023-01-13,song,2199,3,song
2023-01-13,#shakira,632,4,#shakira
2023-01-13,casio,590,5,casio
2023-01-13,session,539,6,session
2023-01-13,thing,493,7,thing
2023-01-13,@shakira,485,8,@shakira
2023-01-13,children,428,9,children
2023-01-13,peopl,401,10,people
2023-01-13,love,397,11,love
2023-01-13,women,393,12,women
2023-01-13,talk,386,13,talk
2023-01-13,listen,355,14,listen
2023-01-13,good,343,15,good
2023-01-13,miley,316,16,miley
2023-01-13,music,304,17,music
2023-01-13,time,302,18,time
2023-01-13,bizarrap,279,19,bizarrap
2023-01-13,day,258,20,day
2023-01-14,shakira,12598,1,shakira
2023-01-14,piqu,5257,2,piqu
2023-01-14,casio,4460,3,casio
2023-01-14,rolex,2911,4,rolex
2023-01-14,follow,2677,5,follow
2023-01-14,watch,2526,6,watch
2023-01-14,song,2512,7,song
2023-01-14,time,2358,8,time
2023-01-14,@casio0ficia,2116,9,@casio0ficia
2023-01-14,cost,2047,10,costs
2023-01-14,particip,2038,11,participate
2023-01-14,raffl,2030,12,raffle
2023-01-14,@c,1932,13,@c
2023-01-14,@casioteam,1451,14,@casioteam
2023-01-14,@shakira,1108,15,@shakira
2023-01-14,children,876,16,children
2023-01-14,session,868,17,session
2023-01-14,music,710,18,music
2023-01-14,reach,703,19,reach
2023-01-14,send,632,20,send
2023-01-15,shakira,10924,1,shakira
2023-01-15,piqu,4783,2,piqu
2023-01-15,song,3044,3,song
2023-01-15,casio,949,4,casio
2023-01-15,#shakira,826,5,#shakira
2023-01-15,love,802,6,love
2023-01-15,miley,688,7,miley
2023-01-15,@shakira,660,8,@shakira
2023-01-15,#missuniverse2022,647,9,#missuniverse2022
2023-01-15,session,617,10,session
2023-01-15,#pique,565,11,#pique
2023-01-15,thing,559,12,thing
2023-01-15,women,548,13,women
2023-01-15,listen,543,14,listen
2023-01-15,good,536,15,good
2023-01-15,univers,490,16,universe
2023-01-15,music,486,17,music
2023-01-15,peopl,481,18,people
2023-01-15,time,467,19,time
2023-01-15,talk,428,20,talk
2023-01-16,shakira,11805,1,shakira
2023-01-16,piqu,6408,2,piqu
2023-01-16,song,3470,3,song
2023-01-16,#shakira,874,4,#shakira
2023-01-16,love,874,5,love
2023-01-16,casio,805,6,casio
