date,token,count,orden,word
2023-02-28,negreira,125,1,negreira
2023-02-28,case,62,2,case
2023-02-28,barsa,53,3,barsa
2023-02-28,refere,26,4,referee
2023-02-28,madrid,26,5,madrid
2023-02-28,#chiringuitothebest,16,6,#chiringuitothebest
2023-02-28,thursday,16,7,thursday
2023-02-28,bara,15,8,bara
2023-02-28,arbitr,15,9,arbitration
2023-02-28,cta,14,10,cta
2023-02-28,barcelona,14,11,barcelona
2023-02-28,son,14,12,son
2023-02-28,footbal,14,13,football
2023-02-28,talk,13,14,talk
2023-02-28,egreira,12,15,egreira
2023-02-28,year,12,16,year
2023-02-28,thing,11,17,thing
2023-02-28,enrquez,11,18,enrquez
2023-02-28,corrupt,11,19,corruption
2023-02-28,leagu,10,20,league
2023-03-01,negreira,493,1,negreira
2023-03-01,barsa,252,2,barsa
2023-03-01,case,156,3,case
2023-03-01,refere,105,4,referee
2023-03-01,madrid,101,5,madrid
2023-03-01,bara,93,6,bara
2023-03-01,barcelona,84,7,barcelona
2023-03-01,year,66,8,year
2023-03-01,tomorrow,62,9,tomorrow
2023-03-01,month,62,10,month
2023-03-01,thing,58,11,thing
2023-03-01,cash,57,12,cash
2023-03-01,euro,53,13,euros
2023-03-01,enrquez,52,14,enrquez
2023-03-01,egreira,50,15,egreira
2023-03-01,collect,48,16,collection
2023-03-01,leagu,46,17,league
2023-03-01,play,45,18,play
2023-03-01,team,43,19,team
2023-03-01,arbitr,40,20,arbitration
2023-03-02,barsa,3538,1,barsa
2023-03-02,negreira,3427,2,negreira
2023-03-02,madrid,1428,3,madrid
2023-03-02,case,922,4,case
2023-03-02,play,850,5,play
2023-03-02,refere,836,6,referee
2023-03-02,today,736,7,today
2023-03-02,arbitr,523,8,arbitration
2023-03-02,game,498,9,game
2023-03-02,win,486,10,win
2023-03-02,goal,468,11,goal
2023-03-02,egreira,414,12,egreira
2023-03-02,thing,408,13,thing
2023-03-02,team,393,14,team
2023-03-02,barcelona,392,15,barcelona
2023-03-02,bara,375,16,bara
2023-03-02,real,373,17,real
2023-03-02,bar,372,18,bar
2023-03-02,match,362,19,match
2023-03-02,beat,281,20,beat
2023-03-03,barsa,183,1,barsa
2023-03-03,negreira,138,2,negreira
2023-03-03,madrid,104,3,madrid
2023-03-03,case,60,4,case
2023-03-03,play,47,5,play
2023-03-03,real,40,6,real
2023-03-03,win,39,7,win
2023-03-03,refere,34,8,referee
2023-03-03,team,34,9,team
2023-03-03,today,34,10,today
2023-03-03,goal,30,11,goal
2023-03-03,barcelona,28,12,barcelona
2023-03-03,game,22,13,game
2023-03-03,bara,21,14,bara
2023-03-03,thing,19,15,thing
2023-03-03,uefa,17,16,uefa
2023-03-03,year,17,17,year
2023-03-03,#chiringuitoclasico,17,18,#chiringuitoclasico
2023-03-03,rfef,17,19,rfef
2023-03-03,feder,17,20,federation
