id,topic,positive_score,neutral_score,negative_score
1397278,0,0.9825326,0.015375777,0.0020915975
1402676,0,0.18326114,0.7764212,0.04031767
1402533,0,0.20059317,0.7843101,0.015096777
1401932,0,0.060611613,0.9296324,0.009755955
1398773,0,0.9794701,0.017801397,0.002728532
1400618,0,0.5502458,0.44206557,0.007688552
1401026,0,0.011733561,0.10432581,0.88394064
1400481,0,0.03570082,0.56240165,0.4018975
1402595,0,0.017266072,0.3361691,0.64656484
1396185,0,0.22304551,0.37822166,0.39873278
1390675,0,0.71151835,0.2838585,0.0046231407
1391176,0,0.03351298,0.44384503,0.522642
1402621,0,0.9114272,0.08568903,0.0028837672
1400475,0,0.6033168,0.39301136,0.003671872
1397140,0,0.31181434,0.5166966,0.17148907
1385378,0,0.027615959,0.6973053,0.27507874
1385209,0,0.98604625,0.011554865,0.0023988655
1393010,0,0.03119517,0.54483813,0.42396677
1392160,0,0.15247782,0.54850715,0.29901502
1395255,0,0.14877574,0.58288926,0.26833507
1399875,0,0.009196264,0.2490042,0.7417995
1396586,0,0.040515218,0.5820736,0.37741113
1388150,0,0.0183882,0.42403957,0.5575723
1402806,0,0.126322,0.798661,0.07501695
1402765,0,0.47285274,0.46017677,0.0669705
1402923,0,0.015900103,0.49125227,0.4928477
1398164,0,0.059449524,0.6576198,0.28293064
1402350,0,0.014753417,0.3766068,0.6086398
1399325,0,0.096144974,0.3816193,0.5222357
1392182,0,0.97197646,0.024668226,0.0033552616
1400861,0,0.1349576,0.802798,0.06224443
1401980,0,0.13799818,0.81486005,0.047141757
1401953,0,0.9850413,0.013171018,0.0017876659
1401353,0,0.040287297,0.7811773,0.17853542
1400577,0,0.06835494,0.4935316,0.43811345
1388044,0,0.0065673827,0.041727357,0.9517053
1388801,0,0.02373338,0.510753,0.4655137
1396775,0,0.7694384,0.22541314,0.005148484
1396294,0,0.22639988,0.6155437,0.15805635
1396072,0,0.7658203,0.23209092,0.0020888145
1394779,0,0.023012446,0.1609563,0.81603134
1398798,0,0.8889666,0.104815304,0.006218078
1401061,0,0.05502609,0.3825984,0.5623755
1400937,0,0.022457339,0.8433872,0.1341555
1402348,0,0.096409656,0.8964468,0.0071434854
1402677,0,0.6164185,0.36147514,0.022106402
1402895,0,0.0232908,0.57640046,0.40030873
1399537,0,0.96851414,0.028370935,0.003114963
1401048,0,0.0227714,0.96507716,0.012151397
1399797,0,0.9839125,0.014105258,0.0019821592
1394977,0,0.9028183,0.09484876,0.0023329286
1402498,2,0.041178666,0.4001764,0.5586449
1397070,0,0.15127894,0.8331258,0.015595296
1402463,0,0.16116828,0.83404726,0.0047845356
1400660,0,0.6182796,0.37884346,0.0028770028
1399969,0,0.48490667,0.4192038,0.095889546
1399321,0,0.16958155,0.7821371,0.048281368
1402261,0,0.906353,0.092007875,0.0016391104
1397304,0,0.00908505,0.062097255,0.92881763
1395847,0,0.00445936,0.043261852,0.95227885
1401831,0,0.41241243,0.4219075,0.1656801
1401373,0,0.010653688,0.24951276,0.73983353
1393825,0,0.4964952,0.44319797,0.060306795
1401811,0,0.73780745,0.22988802,0.032304507
1398762,0,0.03943283,0.35049632,0.6100708
1400818,0,0.23516242,0.74445236,0.0203852
1399665,0,0.066292666,0.8159396,0.11776767
1401695,0,0.01049455,0.17438845,0.815117
1396092,0,0.03838852,0.34961873,0.6119927
1392355,0,0.36474136,0.41643345,0.2188252
1397868,0,0.4006474,0.35671654,0.24263604
1400802,0,0.011175779,0.13935524,0.84946895
1402001,0,0.012314016,0.20844735,0.7792386
1401207,0,0.3244656,0.62955666,0.04597773
1398246,0,0.16373211,0.41720164,0.41906622
1401555,0,0.25087208,0.6713563,0.07777154
1402620,0,0.88041645,0.11726225,0.0023213075
1391428,0,0.027981149,0.9358323,0.036186595
1401309,0,0.07405048,0.52951086,0.39643866
1400668,0,0.9308051,0.054933984,0.014260936
1401758,0,0.92641366,0.069745,0.0038413005
1400207,0,0.98018485,0.017230567,0.0025846602
1400891,0,0.53844035,0.45663738,0.004922269
1391567,0,0.9770472,0.019360706,0.0035921007
1402287,0,0.047853846,0.8721749,0.07997119
1398243,0,0.029725093,0.45042604,0.5198488
1395473,0,0.8855267,0.104220085,0.010253155
1392107,0,0.07611757,0.9055652,0.018317245
1400393,0,0.39835906,0.5805507,0.021090323
1401539,0,0.95156187,0.04442885,0.004009273
1395340,0,0.08116821,0.9148745,0.0039573302
