topic,words,label,coherence,name,size
0,piqu-clara-photo-gerard-cha-league-chia-unfaithful-uploaded-player,Pique Tio - The New Pique,0.5636038704273785,Pique Tio - The New Pique,32968
1,piqu-shakira-song-clara-gerard-#shakira-children-mother-thing-people,Shakira and Piqué - The Relationship Between Shakira and Piqué,0.7212663553119413,Shakira and Piqué - The Relationship Between Shakira and Piqué,24102
2,shakira-song-cheated-betrayed-people-women-woman-guys-love-man,Shakira - She Cheated on!,0.5998390910419669,Shakira - She Cheated on!,13101
3,spike-peak-today-mood-dick-day-rush-energy-nerve-morning,The New Year - A New Year,0.1935726776750775,spike-peak-today-mood-dick-day-rush-energy-nerve-morning,7464
4,shakira-song-queen-@shakira-love-video-quee-thing-god-music,Shakira - The Queen of All Palaces,0.6302568660365953,Shakira - The Queen of All Palaces,6643
5,miley-shakira-song-cyrus-flowers-love-@mileycyrus-music-#mileycyrus-listen,Miley Cyrus and Shakira - The New Songs,0.7188263374697142,Miley Cyrus and Shakira - The New Songs,5876
6,shakira-women-money-billing-song-@shakira-#shakira-crying-treasury-tax,"Shakira: Women Don't Cry, Women Do Bill",0.5825103943629206,"Shakira: Women Don't Cry, Women Do Bill",5061
7,@shakira-shakira-#shakira-love-@bizarrap-@3gerardpique-song-#shakiraxbizarrap-queen-#shakirabzrp,Shakira - A New Look at Shakira,0.7433637670260995,Shakira - A New Look at Shakira,3989
8,stings-stung-itchy-itch-bite-mosquito-bitten-scratch-prick-people,The Stung Man,0.4201740269648956,stings-stung-itchy-itch-bite-mosquito-bitten-scratch-prick-people,3988
9,shakira-song-listen-singing-play-day-session-neighbor-time-dance,Listening to Shakira,0.5589632702828016,Listening to Shakira,3268
10,pike-today-play-good-day-#bbb23-time-start-carnival-love,The Pike - The Pike,0.7457290503187751,The Pike - The Pike,3129
11,shakira-song-good-love-listen-music-catchy-great-time-lyrics,Shakira's New Song - I Love It!,0.8473703123236999,Shakira's New Song - I Love It!,3113
12,shakira-fonasa-#fiestadelosabrazos-mackenna-isapres-#ladivinacomida-piqu-olmue-#missuniverse2022-alvarado,"Venezuelans - The 'Know-Ups', ""Bo",0.2417809938623478,shakira-fonasa-#fiestadelosabrazos-mackenna-isapres-#ladivinacomida-piqu-olmue-#missuniverse2022-alvarado,2985
13,shakira-spotify-song-session-artist-music-monthly-bzrp-latin-listen,Shakira: BZRP Music Sessions #53,0.6272426664883137,Shakira: BZRP Music Sessions #53,2969
14,shakira-bzrp-session-bizarrap-song-biza-listen-music-good-barp,Shakira's BZRP Music Session,0.7725041597270976,Shakira's BZRP Music Session,2625
15,shakira-song-listen-bad-good-sick-music-horrible-thing-tired,Shakira's Song Is Very Bad,0.788097787177104,Shakira's Song Is Very Bad,2496
16,shakira-mom-song-listen-singing-dad-mother-session-play-bzrp,,,shakira-mom-song-listen-singing-dad-mother-session-play-bzrp,2255
17,shakira-session-play-song-listen-sessio-ibiza-good-love-time,,,shakira-session-play-song-listen-sessio-ibiza-good-love-time,2137
18,piqu-twingo-casio-league-gerard-kings-arrived-ferrari-sponsor-shakira,,,piqu-twingo-casio-league-gerard-kings-arrived-ferrari-sponsor-shakira,2025
19,shakira-jam-jelly-strawberry-jar-eat-ate-discovered-betrayed-cheated,,,shakira-jam-jelly-strawberry-jar-eat-ate-discovered-betrayed-cheated,1993
20,twingo-shakira-ferrari-traded-renault-casio-rolex-car-song-piqu,,,twingo-shakira-ferrari-traded-renault-casio-rolex-car-song-piqu,1944
21,@c-@casio0ficia-raffle-participate-costs-rolex-casio-follow-time-shakira,,,@c-@casio0ficia-raffle-participate-costs-rolex-casio-follow-time-shakira,1933
22,-love-click-mother-pic-pie-pick-deserve-piqu-video,,,-love-click-mother-pic-pie-pick-deserve-piqu-video,1806
23,shakira-song-head-listen-day-mind-singing-stuck-time-loop,,,shakira-song-head-listen-day-mind-singing-stuck-time-loop,1764
24,rolex-casio-shakira-watch-piqu-exchange-song-#rolex-#casio-#shakira,,,rolex-casio-shakira-watch-piqu-exchange-song-#rolex-#casio-#shakira,1718
25,shakira-tiktok-song-dance-choreography-video-bizarrap-session-#shakira-viral,,,shakira-tiktok-song-dance-choreography-video-bizarrap-session-#shakira-viral,1608
26,casio-shakira-song-brand-#casio-twingo-#shakira-@casioteam-@shakira-piqu,,,casio-shakira-song-brand-#casio-twingo-#shakira-@casioteam-@shakira-piqu,1401
27,gelato-piqu-rakuten-bag-amazon-homme-gelapique-sale-pullover-loungewear,,,gelato-piqu-rakuten-bag-amazon-homme-gelapique-sale-pullover-loungewear,1374
28,children-shakira-song-father-mother-people-worry-son-alves-parents,,,children-shakira-song-father-mother-people-worry-son-alves-parents,1034
29,paquita-barrio-shakira-del-message-#shakira-song-support-send-neighborhood,,,paquita-barrio-shakira-del-message-#shakira-song-support-send-neighborhood,1022
