topic,words,label,coherence,name,size
0,negreira-egreira-thing-today-case-talk-spirit-alive-hey-munuera,Negreira - Negreira's Shadow,0.6683711728482695,Negreira - Negreira's Shadow,491
1,madrid-barsa-play-beat-real-win-today-day-tomorrow-lose,Real Madrid - Barsa - Real Madrid,0.7428391295368074,Real Madrid - Barsa - Real Madrid,250
2,yellow-vinicius-negreira-gavi-card-jong-vini-referee-foul-munuera,Negreira - Negreira - Negreira - Negreira,0.5399297121923781,yellow-vinicius-negreira-gavi-card-jong-vini-referee-foul-munuera,216
3,referee-negreira-egreira-promotion-today-match-munuera-son-madrid-thing,Negreira Refereeing,0.8927820253174108,Negreira Refereeing,118
4,madrid-barsa-goal-game-match-play-bad-possession-good-defense,Madrid - The Real Madrid - The Real Madrid,0.6043408800699638,Madrid - The Real Madrid - The Real Madrid,113
5,bar-steal-today-robbery-eat-ass-barsa-lose-time-guys,The Bar Is Already Stealing The Bar,0.6753143745037791,The Bar Is Already Stealing The Bar,108
6,gavi-negreira-card-son-grandson-thing-boy-expelled-continue-fault,Gavi Is The Son Of Negreira,0.6152223226538579,Gavi Is The Son Of Negreira,96
7,madrid-barsa-atltico-betis-real-complex-sevilla-fucking-europe-cadiz,Barsa - Real Madrid - Real Madrid,0.7850175060052084,Barsa - Real Madrid - Real Madrid,91
8,barsa-win-qsi-uploaded-today-bet-story-dream-hope-happy,Barsa Wins,0.8300931965349508,Barsa Wins,70
9,uefa-case-federation-negreira-investigation-spanish-rfef-request-asked-barcelona,UEFA - UEFA Breaks Into the Negreira Case,0.7496597174145666,UEFA - UEFA Breaks Into the Negreira Case,65
10,boy-negreira-egreira-fucking-unpresentable-gangster-disgusting-business-hahahahahahahaha-steal,The Negreira Boys - The Negreira Boys,0.8749101753183306,The Negreira Boys - The Negreira Boys,61
11,estrada-fernndez-cta-negreira-lawsuit-file-investigation-complaint-denounce-@ctarfef,Estrada Fernández Suffers Negreira Case,0.5049981988884084,estrada-fernndez-cta-negreira-lawsuit-file-investigation-complaint-denounce-@ctarfef,59
12,xavi-barsa-play-style-game-defend-good-team-guardiola-today,Barsa - The Barsa of Xavi,0.6783755223837035,Barsa - The Barsa of Xavi,50
13,goal-barsa-goa-score-shot-minutes-typical-xddd-rebound-fifa,Barsa's Goal,0.9322567751632017,Barsa's Goal,50
14,withdrew-cash-euros-month-collection-barcelona-egreira-@elmundoes-account-negreira,"Negreira Withdrew Up to 20,000 Euros Per Month in Cash While",0.8897559213071105,"Negreira Withdrew Up to 20,000 Euros Per Month in Cash While",48
15,pay-negreira-payment-paid-salary-egreira-received-gavi-money-bara,Negreira Pays - Is it Still Paying Negreira?,0.7743959937455556,Negreira Pays - Is it Still Paying Negreira?,45
16,madrid-real-barsa-goal-barcelona-minutes-#ada-#realmadrd-#atleti-#barsa,Real Madrid - FC Barcelona - Q1 Final,0.7622303192685679,Real Madrid - FC Barcelona - Q1 Final,45
17,ancelotti-barsa-worst-bar-goal-approaching-play-asensio-cup-shot,Ancelotti - The Worst Barsa in Years,0.7582405906748935,Ancelotti - The Worst Barsa in Years,44
18,case-negreira-cover-forgotten-happened-uncovered-force-topic-lawsuit-hear,Negreira Case - The Negreira Case,0.9674343572270871,Negreira Case - The Negreira Case,44
19,uefa-sanctioning-fifa-case-bara-sports-negreira-afraid-issue-competition,UEFA Breaks Into Negreira Case - Can Barça Be San,0.7281435103727151,UEFA Breaks Into Negreira Case - Can Barça Be San,42
20,barsa-allowed-trust-fucking-fall-equivalent-oooagain-cushion-sit-consultation,Barsa - The Barsa Style,0.816935518098406,Barsa - The Barsa Style,42
21,month-cash-withdrew-euros-collection-money-negreira-provisions-scandal-prosecutor,"Barca - Negreira Withdraws 20,000 Euros a Month",0.8833917115506736,"Barca - Negreira Withdraws 20,000 Euros a Month",41
22,referee-barsa-buy-pay-bought-spend-money-stopped-@elchiringuitotv-year,Barsa Pays Referees,0.8832429229999719,Barsa Pays Referees,41
23,barsa-fucking-damn-nice-story-facet-fox-sneakers-shoes-ace,Fucking Barsa - The Fucking Barsa,0.858375979138292,Fucking Barsa - The Fucking Barsa,37
24,arbitration-negreira-gavi-longer-trend-arbitratio-munuera-time-law-overcome,Arbitration is Negreira,0.8985448904592487,Arbitration is Negreira,36
25,#realmadridbarcelona-negreira-@realmadrid-#realmadridbara-#copadelrey-munuera-dick-boy-today-play,Real Madrid - Real Madrid - Real Madrid - Real Madrid,0.904676878384945,Real Madrid - Real Madrid - Real Madrid - Real Madrid,35
26,var-estrada-fernndez-lawsuit-referee-appointment-enrquez-file-negreira-design,Estrada Fernández Will Not Be in the VAR This Weekend,0.7211368224482191,Estrada Fernández Will Not Be in the VAR This Weekend,35
27,federation-banknotes-laporta-@guillerrai-santiago-joan-face-corruption-bernabu-demonstrated,The Negreira Case - Demonstrations Outside Santiago Bernabeu,0.4874395177073349,federation-banknotes-laporta-@guillerrai-santiago-joan-face-corruption-bernabu-demonstrated,35
28,goal-negreira-goa-egreira-great-minutes-good-team-game-defense,Negreira's Goal,0.9466862069725384,Negreira's Goal,34
29,bernabu-egreira-bernabeu-fly-spirit-negreira-shadow-bernie-hahaha-tonight,The Shadow of Negreira at the Bernabeu,0.8389242448570388,The Shadow of Negreira at the Bernabeu,33
30,referee-barsa-yellow-card-beep-hahahaha-player-favor-match-play,Barsa - The Referees,0.808730517435703,Barsa - The Referees,33
31,yellow-bar-barsa-hooker-exist-incredible-eh-wear-turn-una,The Yellow Ones For Barsa,0.9036756571066223,The Yellow Ones For Barsa,33
32,barsa-beat-lose-history-game-today-expert-knocked-worst-blow,Barsa B - The Worst Barsa in History,0.9580852829678201,Barsa B - The Worst Barsa in History,32
33,month-cash-euros-collection-bara-negreira-withdrew-egreira-earn-relationship,"Negreira Takes Out Up to 20,000 Euros a Month in Cash While",0.808514565232524,"Negreira Takes Out Up to 20,000 Euros a Month in Cash While",31
34,negreira-egreira-club-palancas-bernabeu-boy-clara-theater-aka-version,FC Negreira FC Negreira FC Negreira FC,0.952252780566864,FC Negreira FC Negreira FC Negreira FC,31
35,negreira-beat-egreira-win-aga-othing-today-time-cup-thing,Negreira FC - 0-3 Negreira FC,0.7523303237933986,Negreira FC - 0-3 Negreira FC,28
36,bus-barsa-bar-set-park-talk-tremendous-region-decker-mounta,The Barsa Bus,0.8146730451512586,The Barsa Bus,28
37,barsa-#realmadridbara-#realmadridbarcelona-@realmadrid-#barsa-realmadrid-bad-guys-half-good,Real Madrid 0-1 Barsa Too Bad - Real Madrid 0-1 Bar,0.8723817268878759,Real Madrid 0-1 Barsa Too Bad - Real Madrid 0-1 Bar,26
38,rfef-investigation-secretary-arbitration-andreu-general-case-collaboration-camp-international,RFEF: An Arbitrator Did Not Want to Collaborate in the Investigation of,0.7840033369757009,RFEF: An Arbitrator Did Not Want to Collaborate in the Investigation of,26
39,#baragate-#barcagate-negreira-#corrupcion-boy-#negreira-#halamadrid-talk-bara-egreira,Barcagate - Negreira and Florentino Return With the Crapped,0.7721715001037853,Barcagate - Negreira and Florentino Return With the Crapped,26
40,barsa-madrid-#chiringuitothebest-#chiringuitoclasico-#chiringuitotitular-#chiringuitoclsico-#chiringuitobarcelona-lobo-cul-celebrate,ChiringuitoBarcelona El Barsa is Going to Sink Because,0.4490694238986848,barsa-madrid-#chiringuitothebest-#chiringuitoclasico-#chiringuitotitular-#chiringuitoclsico-#chiringuitobarcelona-lobo-cul-celebrate,26
41,munuera-negreira-bizum-montero-received-suspects-account-son-#realmadridbarcelona-@ctarfef,Munuera Montero - Negreira's Bizum,0.6273167507571322,Munuera Montero - Negreira's Bizum,25
42,visca-barsa-catalonia-cos-bar-pores-mellores-melapela-janou-huhahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,Visca Barsa Visca Barsa - Visca Barsa,0.7977690390469645,Visca Barsa Visca Barsa - Visca Barsa,25
43,goal-barsa-play-score-door-shooting-ball-casualties-team-bar,Defending Barsa - A Small Team Match,0.43832092335671274,goal-barsa-play-score-door-shooting-ball-casualties-team-bar,25
44,barsa-lost-play-bad-game-damn-time-beat-ansu-team,Barsa - Losing Against This Barsa,0.6361394644305822,Barsa - Losing Against This Barsa,25
45,banknotes-laporte-face-classic-distribut-shower-clamor-case-euros-negreira,"Negreira Case: 20,000 500€ Banknotes Distributed With Laporte",0.65259428027258,"Negreira Case: 20,000 500€ Banknotes Distributed With Laporte",25
46,fans-protest-bernabu-case-santiago-madrid-demonstrated-negreira-tickets-lporta,Real Madrid Fans Demonstrate Outside Santiago Bernabéu,0.7021733512708753,Real Madrid Fans Demonstrate Outside Santiago Bernabéu,25
47,barsa-del-puta-visca-muerto-gentleme-variety-valorant-tarde-subn,El Var es Del Barsa - ADN Barsa Master,0.6671038607293699,El Var es Del Barsa - ADN Barsa Master,25
48,negreira-sndez-enriquez-enrquez-mara-lpez-awards-march-council-maria,Enriquez Negreira - The Curve of the Curve,0.44880924359230806,negreira-sndez-enriquez-enrquez-mara-lpez-awards-march-council-maria,24
49,cup-egreira-negreira-hahahahahahahahahahahahahaha-benzem-entertainment-robbed-disappointed-prize-international,Negreira Cup Negreira Cup Negreira Cup Negreira Cup Negr,0.9517598525145696,Negreira Cup Negreira Cup Negreira Cup Negreira Cup Negr,23
50,barsa-equipment-big-style-comment-vadrid-decline-pex-irrigated-recognizable,What Characters Do Barsa What Other is the Barsa?,0.5919323849828311,barsa-equipment-big-style-comment-vadrid-decline-pex-irrigated-recognizable,23
51,barsa-defense-game-play-defend-disgusting-ball-great-today-incredible,Barsa Played Well With 11 Behind What a Joke,0.6890013424674052,Barsa Played Well With 11 Behind What a Joke,23
52,pedri-dembele-lewandowski-barsa-beat-lewan-embarrassing-lose-pedr-dembl,"Barsa Without Dembele, Lewandowski and Pedri",0.8517734008761423,"Barsa Without Dembele, Lewandowski and Pedri",22
53,arbitration-barsa-robbery-vice-pay-reptile-cta-fund-card-president,"Barsa Continues to Spread Them, Eerie Arbitration",0.7046378702276216,"Barsa Continues to Spread Them, Eerie Arbitration",21
54,disgusting-barsa-damn-poop-dirty-dude-thing-climb-teeth-neurons,What a Disgusting Barsa,0.6148625940233432,What a Disgusting Barsa,21
55,#golazo-thing-negreira-#negreira-#asiganaelmadrid-popopompom-motherfucker-gun-solid-spaghetti,Golazo TELL ME THINGS NEGREIRA!,1.0000000000000007,Golazo TELL ME THINGS NEGREIRA!,21
56,madrid-atltico-barsa-play-today-bus-elche-real-che-pending,What Is Madrid Barsa Playing Today?,0.6751439864744846,What Is Madrid Barsa Playing Today?,21
57,arbitration-dishonest-case-evidence-negreira-cantalejo-medina-defend-unity-#ltimahora,The Negreira Case - The Arbitrators defend Their Integrity and Show Unity,0.8207208332988086,The Negreira Case - The Arbitrators defend Their Integrity and Show Unity,20
58,madrid-barsa-madridistas-fans-anti-disgusting-people-team-support-poor,Madrid and Barsa Disgust Me,0.46735154227200804,madrid-barsa-madridistas-fans-anti-disgusting-people-team-support-poor,19
59,madrid-negreira-league-statistics-account-enrquez-bara-spaniards-captured-#realmadridbarcelona,Madrid - The Real Madrid - Enr<unk> quez Negreira,0.5838093566497684,madrid-negreira-league-statistics-account-enrquez-bara-spaniards-captured-#realmadridbarcelona,19
60,referee-cantalejo-medina-dishonest-negreira-lima-gulf-prez-enrquez-evidence,Medina Cantalejo: “No Referee Has Rigged a Match,0.6799875612199991,Medina Cantalejo: “No Referee Has Rigged a Match,18
61,rfef-knowing-report-fact-verified-case-person-governmental-andreu-negreira,The RFEF - The Negreira Case,0.6489099600240706,The RFEF - The Negreira Case,18
62,abde-barsa-return-season-ansu-bolmaro-loan-ext-summer-player,Barsa 23-24 Squad - If Ez Abde Isn't,0.5898408464509954,abde-barsa-return-season-ansu-bolmaro-loan-ext-summer-player,18
63,gonzlez-var-nou-dangerous-son-camp-referee-negreira-sicilian-pel,"Danger in the VAR: González González, the Refer",0.8532526397555428,"Danger in the VAR: González González, the Refer",18
64,referee-madrid-barsa-player-insinuated-damn-shirt-permission-fridge-disgusting,The Immunity That Barsa and Madrid Have to Tell the Referees About,0.5160090548525578,referee-madrid-barsa-player-insinuated-damn-shirt-permission-fridge-disgusting,18
65,month-cash-collection-euros-bara-negreira-@elmundoes-exclusive-@elchiringuitotv-amounts,"Barça - Negreira Takes Up to 20,000 Euros a Month",0.6576682315356545,"Barça - Negreira Takes Up to 20,000 Euros a Month",18
