Topic,Words,Frequency,Timestamp
5,"@thexfilter, @ismael_rubio__, #fifaworldcup, #fifaworldcupqatar2022, @babelinfinito",1,2022-12-12
1,"muchachoooos, #futbol, #worldcup2022, #messi, #chess",1,2022-12-29
0,"@fide_chess, @phchess, chess, @vishy64theking, @lygre",88,2023-04-16
1,"#nepoding, chess, #chess, game, match",67,2023-04-16
2,"ding, #nepoding, liren, game, play",75,2023-04-16
3,"nepo, #nepoding, ding, game, match",58,2023-04-16
4,"#nepoding, game, match, #worldchesschampionship, championship",56,2023-04-16
5,"#nepoding, game, championship, ding, nepomniachtchi",49,2023-04-16
6,"ding, liren, #nepoding, @fide_chess, chess",21,2023-04-16
7,"@fide_chess, magnus, #nepoding, chess, championship",24,2023-04-16
8,"duck, #grandnational2023, #fctwente, #xiaozhan, #pulwamaattack",1,2023-04-16
9,"#nepoding, ding, liren, memeable, outpost",30,2023-04-16
10,"wc, @fischer_random, inaugural, renounced, @fide_chess",14,2023-04-16
12,"accused, baselessly, cheated, list, role",4,2023-04-16
0,"@fide_chess, @phchess, chess, ukraine, @vishy64theking",68,2023-04-17
1,"#nepoding, #chess, chess, game, #worldchesschampionship",33,2023-04-17
2,"ding, #nepoding, game, liren, play",13,2023-04-17
3,"nepo, #nepoding, ding, game, #worldchesschampionship",9,2023-04-17
4,"#nepoding, game, match, #worldchesschampionship, rest",22,2023-04-17
5,"game, #nepoding, championship, ding, nepomniachtchi",13,2023-04-17
6,"ding, liren, @fide_chess, translation, #nepoding",8,2023-04-17
7,"championship, magnus, @fide_chess, #nepoding, chess",9,2023-04-17
8,"#stopoilbellends, #bbcsnooker, #bellend, @juststop_oil, powder",1,2023-04-17
9,"#nepoding, cool, genre, snow, today",5,2023-04-17
10,"wc, @gmwesleyso123, @fischer_random, @fide_chess, inaugural",5,2023-04-17
0,"@fide_chess, @phchess, chess, @vishy64theking, player",112,2023-04-18
1,"#nepoding, chess, #chess, game, #worldchesschampionship",61,2023-04-18
2,"ding, #nepoding, liren, game, play",100,2023-04-18
3,"nepo, #nepoding, ding, game, epo",62,2023-04-18
4,"#nepoding, game, #worldchesschampionship, match, championship",62,2023-04-18
5,"#nepoding, game, championship, nepomniachtchi, ding",47,2023-04-18
6,"ding, @fide_chess, #nepoding, championship, chess",12,2023-04-18
7,"@fide_chess, chess, magnus, champion, player",33,2023-04-18
8,"#bilkisbano, #maharashtrapolitics, #baljeetkaur, #tuesdayvibe, #shaistaparveen",1,2023-04-18
9,"#nepoding, ding, discount, photo, time",25,2023-04-18
10,"wc, @fischer_random, inaugural, renounced, @fide_chess",6,2023-04-18
0,"@fide_chess, chess, @phchess, player, @sergeykaryakin",42,2023-04-19
1,"#nepoding, #chess, chess, #worldchesschampionship, game",20,2023-04-19
2,"ding, #nepoding, lev, liren, game",11,2023-04-19
3,"nepo, ding, #nepoding, game, epo",4,2023-04-19
4,"game, #nepoding, #worldchesschampionship, recap, thankful",3,2023-04-19
5,"game, #nepoding, nepomniachtchi, ding, liren",8,2023-04-19
6,"#nepoding, ding, play, sum, chess",2,2023-04-19
7,"@fide_chess, magnus, chess, play, @dskulkarni96",13,2023-04-19
8,"#campeonatomundialdeajedrez, #cryptocurrencies, #crdmedia, circuit, short",1,2023-04-19
9,"#nepoding, office, expensive, habits, goal",4,2023-04-19
10,"wc, wfrcc, @fischer_random, @gmwesleyso123, inaugural",4,2023-04-19
12,"biased, cheated, @kasparov63, @ardh0n, time",1,2023-04-19
0,"@fide_chess, @vishy64theking, chess, @europeechecs, @ecuonline",131,2023-04-20
1,"#nepoding, #chess, chess, game, @fide_chess",67,2023-04-20
2,"ding, #nepoding, liren, game, play",118,2023-04-20
3,"nepo, #nepoding, ding, game, @fide_chess",54,2023-04-20
4,"#nepoding, game, #worldchesschampionship, match, championship",65,2023-04-20
5,"game, #nepoding, championship, nepomniachtchi, ding",46,2023-04-20
6,"ding, @fide_chess, liren, #nepoding, chess",14,2023-04-20
7,"magnus, chess, @fide_chess, #nepoding, match",23,2023-04-20
9,"#nepoding, ding, node, today, position",32,2023-04-20
10,"wfrcc, wc, @fide_chess, rapid, @fischer_random",2,2023-04-20
0,"@fide_chess, @vishy64theking, chess, tick, @phchess",62,2023-04-21
1,"#nepoding, #chess, chess, game, play",52,2023-04-21
2,"ding, #nepoding, liren, game, ian",48,2023-04-21
3,"nepo, #nepoding, ding, game, #worldchesschampionship",44,2023-04-21
4,"#nepoding, game, match, #worldchesschampionship, championship",41,2023-04-21
5,"#nepoding, game, nepomniachtchi, championship, ding",38,2023-04-21
6,"ding, @fide_chess, chess, champion, liren",7,2023-04-21
7,"@fide_chess, chess, magnus, #nepoding, championship",6,2023-04-21
8,"yeh, ares, phisal, kiya, gaya",1,2023-04-21
9,"#nepoding, ding, peter, image, woop",22,2023-04-21
10,"wfrcc, wc, rapid, @fide_chess, conspiracy",1,2023-04-21
0,"@fide_chess, @phchess, @europeechecs, @chessdom, @ecuonline",63,2023-04-22
1,"#nepoding, #chess, chess, game, play",17,2023-04-22
2,"ding, #nepoding, game, play, liren",6,2023-04-22
3,"nepo, #nepoding, ding, game, play",5,2023-04-22
4,"#nepoding, revisit, champagne, bylaws, pizza",3,2023-04-22
5,"#nepoding, championship, game, nepomniachtchi, liren",9,2023-04-22
6,"abou, #chessbox, #grandmasters, #playchessonline, ding",1,2023-04-22
7,"timur, championship, @fide_chess, blindfold, simultaneous",4,2023-04-22
12,"list, accused, veselin, ful, role",30,2023-04-22
0,"@fide_chess, @phchess, chess, @europeechecs, @chessdom",61,2023-04-23
1,"#nepoding, #chess, chess, game, play",32,2023-04-23
2,"ding, #nepoding, game, liren, #worldchesschampionship",27,2023-04-23
3,"nepo, #nepoding, ding, game, @fide_chess",33,2023-04-23
