Topic,Words,Frequency,Timestamp
0,"piqu, clara, gerard, photo, cha",1825,2023-01-12
1,"piqu, shakira, song, session, children",2485,2023-01-12
2,"shakira, song, cheated, people, thing",1434,2023-01-12
3,"spike, peak, today, sleep, rush",33,2023-01-12
4,"shakira, queen, song, quee, @shakira",810,2023-01-12
5,"shakira, miley, song, cyrus, taylor",70,2023-01-12
6,"women, shakira, money, @shakira, billing",907,2023-01-12
7,"@shakira, shakira, #shakira, love, @bizarrap",401,2023-01-12
8,"stings, itchy, stung, itch, bite",62,2023-01-12
9,"shakira, song, listen, singing, session",149,2023-01-12
10,"pike, cup, league, european, boutique",27,2023-01-12
11,"shakira, song, love, good, listen",339,2023-01-12
12,"shakira, @ricardoclaurep, #ricardoclaurepealoza, #sinfoniascelestiales, #35aosdehistoria",28,2023-01-12
13,"shakira, views, hours, session, song",71,2023-01-12
14,"shakira, session, bzrp, bizarrap, song",716,2023-01-12
15,"shakira, song, bad, listen, good",259,2023-01-12
16,"shakira, mom, song, listen, session",78,2023-01-12
17,"shakira, session, sessio, ibiza, listen",553,2023-01-12
18,"piqu, twingo, casio, league, kings",57,2023-01-12
19,"shakira, jam, jelly, strawberry, eat",24,2023-01-12
20,"twingo, shakira, ferrari, traded, casio",278,2023-01-12
22,", pie, pic, love, click",31,2023-01-12
23,"shakira, song, listen, head, stuck",24,2023-01-12
24,"casio, rolex, shakira, watch, traded",89,2023-01-12
25,"shakira, song, tiktok, session, bizarrap",46,2023-01-12
26,"casio, shakira, twingo, song, #casio",93,2023-01-12
27,"gelato, rakuten, piqu, #rakutenichiba, rba",9,2023-01-12
28,"children, shakira, song, father, mother",104,2023-01-12
29,"paquita, shakira, barrio, neighborhood, rat",35,2023-01-12
30,"clara, shakira, chia, cha, song",74,2023-01-12
31,"karol, shakira, @karolg, song, arol",18,2023-01-12
32,"wolf, shakira, guys, newbies, @shakira",90,2023-01-12
33,"plagiarism, shakira, song, briella, accused",51,2023-01-12
34,"law, mother, shakira, neighbor, treasury",63,2023-01-12
35,"witch, shakira, law, house, wall",3,2023-01-12
37,"piqu, shakira, networks, imagine, social",1,2023-01-12
0,"piqu, clara, photo, gerard, defend",769,2023-01-13
1,"piqu, shakira, song, children, thing",1378,2023-01-13
2,"shakira, song, people, cheated, women",905,2023-01-13
3,"spike, mood, today, woke, peak",56,2023-01-13
4,"shakira, song, queen, @shakira, #sunghoonselcaporlei",293,2023-01-13
5,"miley, shakira, cyrus, song, flowers",289,2023-01-13
6,"shakira, women, billing, money, song",320,2023-01-13
7,"@shakira, shakira, #shakira, #shakiraxbizarrap, love",186,2023-01-13
8,"stings, stung, itch, itchy, bite",42,2023-01-13
9,"shakira, song, listen, singing, play",85,2023-01-13
10,"pike, nightclub, barbecue, drink, sapicon",18,2023-01-13
11,"shakira, song, good, love, listen",159,2023-01-13
12,"shakira, #shakira, #vibeftjimin, #pique, piqu",76,2023-01-13
13,"shakira, views, song, session, spotify",85,2023-01-13
14,"shakira, session, bizarrap, bzrp, song",150,2023-01-13
15,"shakira, song, listen, bad, people",125,2023-01-13
16,"shakira, song, mom, listen, singing",60,2023-01-13
17,"shakira, session, sessio, listen, song",124,2023-01-13
18,"piqu, casio, twingo, league, arrived",114,2023-01-13
19,"shakira, jam, jelly, eat, fridge",28,2023-01-13
20,"twingo, shakira, ferrari, traded, renault",137,2023-01-13
22,", goddess, love, wancho, gurllll",37,2023-01-13
23,"shakira, song, head, listen, day",37,2023-01-13
24,"casio, rolex, shakira, watch, piqu",155,2023-01-13
25,"shakira, tiktok, song, dance, video",42,2023-01-13
26,"casio, shakira, #casio, song, brand",189,2023-01-13
27,"gelato, piqu, rakuten, bag, dgry",18,2023-01-13
28,"children, shakira, song, mother, father",110,2023-01-13
29,"paquita, shakira, barrio, del, #shakira",37,2023-01-13
30,"clara, shakira, chia, cha, song",49,2023-01-13
31,"karol, shakira, @karolg, anuel, collaboration",9,2023-01-13
32,"wolf, shakira, guys, song, colotordoc",14,2023-01-13
