Topic,Words,Frequency,Timestamp
0,"shakira, song, session, @shakira, love",8747,2023-01-12
1,"piqu, clara, gerard, photo, cha",1890,2023-01-12
2,"piqu, shakira, song, clara, session",2612,2023-01-12
3,"spike, peak, today, picky, rush",44,2023-01-12
4,"miley, shakira, song, cyrus, taylor",42,2023-01-12
5,"shakira, twingo, casio, rolex, ferrari",461,2023-01-12
6,"women, shakira, money, @shakira, billing",854,2023-01-12
7,"stings, stung, itch, itchy, bite",60,2023-01-12
8,"shakira, views, session, hours, song",89,2023-01-12
9,"shakira, #shakira, #pique, #sinfoniascelestiales, #35aosdehistoria",40,2023-01-12
10,"pike, cup, league, play, european",28,2023-01-12
11,"gelato, rakuten, piqu, #rakutenichiba, rba",11,2023-01-12
12,"shakira, clara, song, chia, cha",150,2023-01-12
13,"pick, , pie, chop, click",54,2023-01-12
14,"piqu, twingo, casio, league, kings",64,2023-01-12
15,"shakira, jam, jelly, ate, eat",34,2023-01-12
17,"shakira, @youtube, bzrp, session, music",41,2023-01-12
18,"shakira, session, listen, start, today",1,2023-01-12
19,"karol, shakira, song, @karolg, arol",17,2023-01-12
20,"piqu, booed, bac, pico, hahahahahahaha",3,2023-01-12
21,"wolf, shakira, guys, newbies, song",91,2023-01-12
0,"shakira, song, session, listen, @shakira",3668,2023-01-13
1,"piqu, clara, photo, gerard, children",803,2023-01-13
2,"piqu, shakira, song, children, clara",1509,2023-01-13
3,"today, spike, peak, mood, day",68,2023-01-13
4,"miley, shakira, cyrus, song, flowers",283,2023-01-13
5,"shakira, casio, rolex, twingo, piqu",504,2023-01-13
6,"shakira, women, billing, money, invoice",292,2023-01-13
7,"stings, stung, itch, itchy, bite",40,2023-01-13
8,"shakira, session, views, song, bzrp",93,2023-01-13
9,"shakira, #shakira, #pique, piqu, #casio",119,2023-01-13
10,"pike, nightclub, barbecue, drink, start",22,2023-01-13
11,"gelato, piqu, bag, gelapique, lucky",23,2023-01-13
12,"shakira, clara, song, chia, #shakira",114,2023-01-13
13,", goddess, love, wancho, jueputaaaaaaaaaaaa",40,2023-01-13
14,"piqu, casio, twingo, league, sponsor",142,2023-01-13
15,"shakira, jam, jelly, eat, ate",34,2023-01-13
17,"shakira, @youtube, rihanna, video, feat",36,2023-01-13
19,"karol, shakira, @karolg, @shakira, collaboration",7,2023-01-13
21,"wolf, shakira, guys, song, tuuuuuu",13,2023-01-13
0,"shakira, song, @shakira, session, listen",2897,2023-01-14
1,"piqu, clara, photo, gerard, cha",910,2023-01-14
2,"piqu, shakira, song, children, clara",1307,2023-01-14
3,"today, spike, peak, day, dick",69,2023-01-14
4,"miley, shakira, cyrus, song, flowers",282,2023-01-14
5,"casio, shakira, rolex, twingo, piqu",737,2023-01-14
6,"shakira, women, money, billing, @shakira",238,2023-01-14
7,"stings, stung, itchy, anuel, asjdasjasj",57,2023-01-14
8,"shakira, spotify, session, bzrp, music",362,2023-01-14
9,"#shakira, #pique, shakira, piqu, #fear",216,2023-01-14
10,"pike, ha, @dajisgrace, @itssince79, @orlando_neto10",25,2023-01-14
11,"cot, gelato, @tidmaster, @_cityspy, quality",37,2023-01-14
12,"shakira, clara, chia, song, cha",137,2023-01-14
13,"chatbot, fluid, fictitious, , pico",21,2023-01-14
14,"piqu, casio, twingo, league, announced",290,2023-01-14
15,"shakira, jam, jelly, ate, eat",33,2023-01-14
16,"@c, @casio0ficia, raffle, costs, participate",1940,2023-01-14
17,"@iconiksongs, shakira, wyclef, jean, hips",62,2023-01-14
19,"karol, shakira, @popbase, peridico, collaboration",99,2023-01-14
21,"wolf, shakira, guys, song, @shakira",38,2023-01-14
0,"shakira, song, session, listen, @shakira",5213,2023-01-15
1,"piqu, clara, gerard, fault, photo",1561,2023-01-15
2,"piqu, shakira, song, clara, gerard",1880,2023-01-15
3,"peak, spike, today, dick, mood",321,2023-01-15
4,"miley, shakira, song, cyrus, flowers",616,2023-01-15
5,"shakira, casio, rolex, twingo, ferrari",652,2023-01-15
6,"shakira, women, billing, money, song",338,2023-01-15
7,"stings, stung, itch, itchy, damn",224,2023-01-15
8,"shakira, spotify, session, bzrp, views",177,2023-01-15
9,"fonasa, #fiestadelosabrazos, mackenna, isapres, #ladivinacomida",519,2023-01-15
10,"pike, today, damn, good, time",139,2023-01-15
11,"gelato, piqu, bag, rakuten, gelapique",84,2023-01-15
12,"shakira, clara, song, @shakira, #shakira",256,2023-01-15
13,", love, friends, #notisdom, pick",127,2023-01-15
14,"piqu, casio, twingo, league, sponsor",234,2023-01-15
15,"shakira, jam, jelly, ate, eat",44,2023-01-15
17,"shakira, @youtube, video, official, song",62,2023-01-15
19,"karol, shakira, song, collaboration, anuel",31,2023-01-15
20,"ameeeee, piqu, booed, hahahaj, shout",1,2023-01-15
21,"wolf, shakira, uh, guys, song",42,2023-01-15
0,"shakira, song, session, listen, @shakira",5598,2023-01-16
1,"piqu, clara, photo, gerard, cha",2212,2023-01-16
2,"piqu, shakira, song, clara, gerard",2475,2023-01-16
3,"peak, today, spike, mood, dick",471,2023-01-16
4,"miley, shakira, song, cyrus, flowers",578,2023-01-16
5,"shakira, casio, twingo, rolex, piqu",510,2023-01-16
6,"shakira, women, money, billing, song",311,2023-01-16
7,"stings, stung, itch, itchy, mosquito",194,2023-01-16
8,"shakira, spotify, session, song, music",154,2023-01-16
9,"shakira, #shakira, piqu, #pique, #missuniverse2022",214,2023-01-16
10,"pike, today, play, day, start",174,2023-01-16
11,"gelato, piqu, bag, gelapique, lucky",107,2023-01-16
12,"shakira, clara, song, paquita, cha",214,2023-01-16
13,", love, friends, good, dick",289,2023-01-16
14,"piqu, twingo, casio, league, shakira",516,2023-01-16
15,"shakira, jelly, jam, eat, ate",121,2023-01-16
17,"shakira, @youtube, hd, video, official",72,2023-01-16
18,"shakira, bzrp, music, session, station",18,2023-01-16
19,"karol, shakira, song, release, collaboration",19,2023-01-16
20,"booed, piqu, rogerinho, pike, kkkkkkkkkkkkkkkkkkkkk",3,2023-01-16
21,"wolf, shakira, guys, song, #shakira",38,2023-01-16
0,"shakira, song, listen, session, @shakira",5368,2023-01-17
1,"piqu, clara, gerard, photo, league",1540,2023-01-17
2,"piqu, shakira, song, clara, gerard",1844,2023-01-17
3,"peak, today, spike, mood, day",532,2023-01-17
4,"miley, shakira, song, cyrus, flowers",625,2023-01-17
5,"shakira, casio, twingo, rolex, ferrari",414,2023-01-17
6,"shakira, women, money, billing, song",325,2023-01-17
7,"stings, stung, itchy, itch, eyes",212,2023-01-17
8,"shakira, spotify, session, music, song",161,2023-01-17
9,"shakira, #shakira, piqu, #pique, fancam",223,2023-01-17
10,"pike, palas, today, #bbb23, play",161,2023-01-17
11,"gelato, piqu, bag, gelapique, lucky",135,2023-01-17
12,"shakira, clara, paquita, song, barrio",235,2023-01-17
13,", love, dick, friends, pic",138,2023-01-17
14,"piqu, twingo, casio, league, gerard",240,2023-01-17
15,"shakira, jelly, jam, eat, ate",196,2023-01-17
17,"shakira, song, @youtube, video, hd",77,2023-01-17
18,"shakira, @bizarrap, bzrp, music, session",32,2023-01-17
19,"karol, shakira, song, collaboration, @karolg",15,2023-01-17
20,"booed, piqu, crowd, #bbb23, shore",2,2023-01-17
21,"wolf, shakira, uh, guys, newbies",30,2023-01-17
0,"shakira, song, session, listen, @shakira",4765,2023-01-18
1,"piqu, clara, gerard, photo, league",1211,2023-01-18
2,"piqu, shakira, song, clara, gerard",1574,2023-01-18
3,"peak, spike, today, dick, day",463,2023-01-18
4,"miley, shakira, cyrus, song, flowers",587,2023-01-18
5,"shakira, casio, rolex, twingo, piqu",287,2023-01-18
6,"shakira, women, billing, money, song",300,2023-01-18
7,"stings, stung, itch, itchy, bite",232,2023-01-18
8,"shakira, spotify, session, music, bzrp",177,2023-01-18
9,"shakira, piqu, #shakira, babo, salinas",242,2023-01-18
