token,count,word
shakira,170604,shakira
piqu,95283,piqu
song,43260,song
clara,12610,clara
session,12435,session
@shakira,12366,@shakira
gelato,12079,gelato
love,11568,love
#shakira,11518,#shakira
time,10366,time
music,10312,music
listen,9960,listen
casio,9697,casio
women,8591,women
gerard,8571,gerard
year,8479,year
play,8297,play
day,8221,day
thing,8179,thing
miley,7740,miley
bag,7540,bag
good,7503,good
bizarrap,7385,bizarrap
peopl,7379,people
video,7271,video
photo,7232,photo
bzrp,6471,bzrp
today,6094,today
watch,6028,watch
talk,5894,talk
